GP_ID,GP_Name,Block,District,State,Overall_PAI_Score,Overall_Grade,Overall_Category,T1_Poverty_Free_Score,T1_Poverty_Free_Grade,T1_Poverty_Free_Category,T2_Healthy_Score,T2_Healthy_Grade,T2_Healthy_Category,T3_Child_Friendly_Score,T3_Child_Friendly_Grade,T3_Child_Friendly_Category,T4_Water_Sufficient_Score,T4_Water_Sufficient_Grade,T4_Water_Sufficient_Category,T5_Clean_Green_Score,T5_Clean_Green_Grade,T5_Clean_Green_Category,T6_Self_Sufficient_Score,T6_Self_Sufficient_Grade,T6_Self_Sufficient_Category,T7_Socially_Just_Score,T7_Socially_Just_Grade,T7_Socially_Just_Category,T8_Good_Governance_Score,T8_Good_Governance_Grade,T8_Good_Governance_Category,T9_Women_Friendly_Score,T9_Women_Friendly_Grade,T9_Women_Friendly_Category
10719,Teona,Bathinda [226],Bathinda,Punjab,66.82,B,Performer,79.57,A,Front Runner,80.59,A,Front Runner,75.28,A,Front Runner,57.84,C,Aspirant,49.87,C,Aspirant,65.6,B,Performer,73.8,B,Performer,70.71,B,Performer,52.63,Unknown,Unknown
10721,Virk Khurd,Bathinda [226],Bathinda,Punjab,66.72,B,Performer,73.95,B,Performer,87.86,A,Front Runner,72.41,B,Performer,61.8,B,Performer,50.47,C,Aspirant,60.63,B,Performer,82.19,A,Front Runner,63.93,B,Performer,52.63,Unknown,Unknown
10720,Virk Kalan,Bathinda [226],Bathinda,Punjab,66.59,B,Performer,77.13,A,Front Runner,74.65,B,Performer,75.78,A,Front Runner,72.13,B,Performer,50.01,C,Aspirant,54.5,C,Aspirant,80.53,A,Front Runner,65.88,B,Performer,52.63,Unknown,Unknown
10713,Naruana,Bathinda [226],Bathinda,Punjab,66.15,B,Performer,75.01,A,Front Runner,79.53,A,Front Runner,72.06,B,Performer,59.97,C,Aspirant,57.84,C,Aspirant,61.98,B,Performer,78.28,A,Front Runner,66.49,B,Performer,52.63,Unknown,Unknown
10698,Jhumba,Bathinda [226],Bathinda,Punjab,65.89,B,Performer,80.84,A,Front Runner,80.71,A,Front Runner,69.0,B,Performer,68.63,B,Performer,49.15,C,Aspirant,56.02,C,Aspirant,75.35,A,Front Runner,72.08,B,Performer,52.63,Unknown,Unknown
10711,Multania,Bathinda [226],Bathinda,Punjab,65.77,B,Performer,68.18,B,Performer,74.63,B,Performer,83.57,A,Front Runner,75.45,A,Front Runner,52.36,C,Aspirant,54.47,C,Aspirant,76.34,A,Front Runner,66.28,B,Performer,52.63,Unknown,Unknown
10672,Baho Yatri,Bathinda [226],Bathinda,Punjab,65.14,B,Performer,75.23,A,Front Runner,90.71,A+,Achiever,62.14,B,Performer,72.45,B,Performer,47.37,C,Aspirant,57.86,C,Aspirant,76.67,A,Front Runner,70.47,B,Performer,52.63,Unknown,Unknown
10673,Bahosivianpatidharamsingh,Bathinda [226],Bathinda,Punjab,65.09,B,Performer,78.02,A,Front Runner,78.9,A,Front Runner,65.41,B,Performer,59.46,C,Aspirant,50.59,C,Aspirant,65.62,B,Performer,77.98,A,Front Runner,70.32,B,Performer,52.63,Unknown,Unknown
10688,Deon,Bathinda [226],Bathinda,Punjab,64.88,B,Performer,82.43,A,Front Runner,75.62,A,Front Runner,57.78,C,Aspirant,71.98,B,Performer,49.54,C,Aspirant,61.19,B,Performer,84.57,A,Front Runner,62.32,B,Performer,52.63,Unknown,Unknown
10699,Jodhpur Romana,Bathinda [226],Bathinda,Punjab,64.82,B,Performer,76.8,A,Front Runner,78.43,A,Front Runner,64.3,B,Performer,68.86,B,Performer,53.6,C,Aspirant,55.58,C,Aspirant,78.92,A,Front Runner,66.34,B,Performer,52.63,Unknown,Unknown
10677,Baluana,Bathinda [226],Bathinda,Punjab,64.54,B,Performer,74.27,B,Performer,65.32,B,Performer,70.45,B,Performer,73.53,B,Performer,49.43,C,Aspirant,57.47,C,Aspirant,81.37,A,Front Runner,66.57,B,Performer,52.63,Unknown,Unknown
10685,Chughe Kalan,Bathinda [226],Bathinda,Punjab,64.32,B,Performer,70.09,B,Performer,75.24,A,Front Runner,73.09,B,Performer,69.71,B,Performer,52.9,C,Aspirant,52.27,C,Aspirant,74.29,B,Performer,68.21,B,Performer,52.63,Unknown,Unknown
