VILLAGE_ID,VILLAGE_NAME_x,GP_ID,GP_NAME,BLOCK NAME,DISTRICT NAME,STATE NAME,TOTAL - COMMUNITY COMPOST PITS,TOTAL - VEHICLES FOR COLLECTION & TRANSPORTATION OF WASTE,TOTAL - WASTE COLLECTION AND SEGREGATION SHEDS IN THE VILLAGE,TOTAL - SEGREGATION BINS AT COMMUNITY PLACES IN THE VILLAGE,TOTAL - COMMUNITY BIO-GAS PLANTS - UNDER OTHER SCHEMES,TOTAL - COMPOST PITS,TOTAL - BIOGAS PLANTS,TOTAL - FEEDING TO CATTLE,TOTAL - HOUSEHOLD BINS,TOTAL - COMMUNITY SOAK/LEACH/MAGIC PITS,TOTAL - DRAINAGE FACILITY AVAILABLE IN VILLAGE,TOTAL - COMMUNITY GREY WATER MANAGEMENT SYSTEMS,TOTAL - LEACH PITS,TOTAL - MAGIC PITS,TOTAL - SOAK PITS,TOTAL - KITCHEN GARDEN,TOTAL - DUCKWEED POND,ODF DECLARATION STATUS,GP_Name,Block,District,State,Overall_PAI_Score,Overall_Grade,Overall_Category,T1_Poverty_Free_Score,T1_Poverty_Free_Grade,T1_Poverty_Free_Category,T2_Healthy_Score,T2_Healthy_Grade,T2_Healthy_Category,T3_Child_Friendly_Score,T3_Child_Friendly_Grade,T3_Child_Friendly_Category,T4_Water_Sufficient_Score,T4_Water_Sufficient_Grade,T4_Water_Sufficient_Category,T5_Clean_Green_Score,T5_Clean_Green_Grade,T5_Clean_Green_Category,T6_Self_Sufficient_Score,T6_Self_Sufficient_Grade,T6_Self_Sufficient_Category,T7_Socially_Just_Score,T7_Socially_Just_Grade,T7_Socially_Just_Category,T8_Good_Governance_Score,T8_Good_Governance_Grade,T8_Good_Governance_Category,T9_Women_Friendly_Score,T9_Women_Friendly_Grade,T9_Women_Friendly_Category,VILLAGE_NAME_y,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS,State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
35784,BIRTALAB URF TALAB NEEHAR,277610,BABA JIVAN SINGH NAGAR,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus,Baba Jivan Singh Nagar,Bathinda [226],Bathinda,Punjab,58.72,C,Aspirant,69.45,B,Performer,71.35,B,Performer,73.71,B,Performer,80.0,A,Front Runner,48.7,C,Aspirant,32.36,D,Beginner,74.28,B,Performer,43.21,C,Aspirant,52.63,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
35789,Baho Yatri,10672,BAHO YATRI,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,,Baho Yatri,Bathinda [226],Bathinda,Punjab,65.14,B,Performer,75.23,A,Front Runner,90.71,A+,Achiever,62.14,B,Performer,72.45,B,Performer,47.37,C,Aspirant,57.86,C,Aspirant,76.67,A,Front Runner,70.47,B,Performer,52.63,Unknown,Unknown,Baho Yatri,Baho Yatri,Bathinda,Bathinda,Punjab,953.0,264.0,0.0,689.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,209.0,209.0,,,,,,,,,,,,
35787,BAHO SIBIAN PATTI BASAWA SINGH,10673,BAHOSIVIANPATIDHARAMSINGH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Bahosivianpatidharamsingh,Bathinda [226],Bathinda,Punjab,65.09,B,Performer,78.02,A,Front Runner,78.9,A,Front Runner,65.41,B,Performer,59.46,C,Aspirant,50.59,C,Aspirant,65.62,B,Performer,77.98,A,Front Runner,70.32,B,Performer,52.63,Unknown,Unknown,BAHO SIVIAN (PATTI DHARMA),Bahosivianpatidharamsingh,Bathinda,Bathinda,Punjab,548.0,120.0,0.0,428.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,98.0,98.0,,,,,,,,,,,,
35788,BAHO SIBIAN PATTI DHARAM SINGH,10673,BAHOSIVIANPATIDHARAMSINGH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Bahosivianpatidharamsingh,Bathinda [226],Bathinda,Punjab,65.09,B,Performer,78.02,A,Front Runner,78.9,A,Front Runner,65.41,B,Performer,59.46,C,Aspirant,50.59,C,Aspirant,65.62,B,Performer,77.98,A,Front Runner,70.32,B,Performer,52.63,Unknown,Unknown,BAHO SIVIAN (PATTI DHARMA),Bahosivianpatidharamsingh,Bathinda,Bathinda,Punjab,548.0,120.0,0.0,428.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,98.0,98.0,,,,,,,,,,,,
35771,Buladewala,10674,BALADE WALA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Balade Wala,Bathinda [226],Bathinda,Punjab,57.31,C,Aspirant,57.62,C,Aspirant,77.85,A,Front Runner,69.41,B,Performer,54.64,C,Aspirant,42.2,C,Aspirant,51.7,C,Aspirant,70.7,B,Performer,52.08,C,Aspirant,52.63,Unknown,Unknown,Buladewala,Balade Wala,Bathinda,Bathinda,Punjab,2642.0,1307.0,0.0,1335.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,568.0,568.0,,,,,,,,,,,,
35775,BALUANA,10677,BALUANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,Baluana,Bathinda [226],Bathinda,Punjab,64.54,B,Performer,74.27,B,Performer,65.32,B,Performer,70.45,B,Performer,73.53,B,Performer,49.43,C,Aspirant,57.47,C,Aspirant,81.37,A,Front Runner,66.57,B,Performer,52.63,Unknown,Unknown,Balluana,Baluana,Bathinda,Bathinda,Punjab,4868.0,1680.0,0.0,3188.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,946.0,946.0,PUNJAB,BATHINDA,BATHINDA,BALLUANA,733.0,1002.0,586.0,816.0,0.0,0.0,557.0,445.0
35772,BEHMAN DIWANA,235948,BASTI BAJIGAR,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus,Basti Bajigar,Bathinda [226],Bathinda,Punjab,53.05,C,Aspirant,35.69,D,Beginner,65.54,B,Performer,64.27,B,Performer,56.67,C,Aspirant,53.61,C,Aspirant,39.59,D,Beginner,65.31,B,Performer,54.32,C,Aspirant,52.63,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
35772,BEHMAN DIWANA,10679,BEHMAN DEWANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,Behman Dewana,Bathinda [226],Bathinda,Punjab,60.94,B,Performer,73.58,B,Performer,71.51,B,Performer,57.89,C,Aspirant,61.92,B,Performer,53.71,C,Aspirant,55.06,C,Aspirant,76.22,A,Front Runner,54.32,C,Aspirant,52.63,Unknown,Unknown,Behman Diwana,Behman Dewana,Bathinda,Bathinda,Punjab,6187.0,3087.0,0.0,3100.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1092.0,1092.0,PUNJAB,BATHINDA,BATHINDA,BEHMAN DIWANA,555.0,987.0,409.0,722.0,0.0,0.0,425.0,562.0
35737,Bhagu,10680,BHAGU,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Bhagu,Bathinda [226],Bathinda,Punjab,61.19,B,Performer,67.13,B,Performer,74.66,B,Performer,82.56,A,Front Runner,58.53,C,Aspirant,53.05,C,Aspirant,48.93,C,Aspirant,76.6,A,Front Runner,50.31,C,Aspirant,52.63,Unknown,Unknown,Bhagu,Bhagu,Bathinda,Bathinda,Punjab,2138.0,988.0,0.0,1150.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,413.0,413.0,,,,,,,,,,,,
35831,BHISIANA (CT),10681,BHISIANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Bhisiana,Bathinda [226],Bathinda,Punjab,57.32,C,Aspirant,57.22,C,Aspirant,84.67,A,Front Runner,68.18,B,Performer,66.08,B,Performer,56.51,C,Aspirant,30.62,D,Beginner,62.28,B,Performer,55.83,C,Aspirant,52.63,Unknown,Unknown,Bhisiana,Bhisiana,Bathinda,Bathinda,Punjab,,,,,,,,,,,PUNJAB,BATHINDA,BATHINDA,BHISIANA,220.0,423.0,161.0,332.0,0.0,0.0,209.0,214.0
