village_id,village_name,gp_id,gp_name,block_name,district_name,state_name,sanit_community_compost_pits,sanit_vehicles_for_collection_&_transportation_of_waste,sanit_waste_collection_and_segregation_sheds_in_the_village,sanit_segregation_bins_at_community_places_in_the_village,sanit_community_bio-gas_plants_-_under_other_schemes,sanit_compost_pits,sanit_biogas_plants,sanit_feeding_to_cattle,sanit_household_bins,sanit_community_soak/leach/magic_pits,sanit_drainage_facility_available_in_village,sanit_community_grey_water_management_systems,sanit_leach_pits,sanit_magic_pits,sanit_soak_pits,sanit_kitchen_garden,sanit_duckweed_pond,sanit_odf_declaration_status,pai_overall_pai_score,pai_overall_grade,pai_overall_category,pai_t1_poverty_free_score,pai_t1_poverty_free_grade,pai_t1_poverty_free_category,pai_t2_healthy_score,pai_t2_healthy_grade,pai_t2_healthy_category,pai_t3_child_friendly_score,pai_t3_child_friendly_grade,pai_t3_child_friendly_category,pai_t4_water_sufficient_score,pai_t4_water_sufficient_grade,pai_t4_water_sufficient_category,pai_t5_clean_green_score,pai_t5_clean_green_grade,pai_t5_clean_green_category,pai_t6_self_sufficient_score,pai_t6_self_sufficient_grade,pai_t6_self_sufficient_category,pai_t7_socially_just_score,pai_t7_socially_just_grade,pai_t7_socially_just_category,pai_t8_good_governance_score,pai_t8_good_governance_grade,pai_t8_good_governance_category,pai_t9_women_friendly_score,pai_t9_women_friendly_grade,pai_t9_women_friendly_category,water_total_population,water_sc_population,water_st_population,water_gen_population,water_no_of_habitations,water_is_pws_available,water_jjm_status,water_har_ghar_jal_certificate,water_total_households,water_total_tap_connections,mgnrega_total_registered_hh,mgnrega_total_registered_persons,mgnrega_sc_hh,mgnrega_sc_persons,mgnrega_st_hh,mgnrega_st_persons,mgnrega_male_persons,mgnrega_female_persons
35775,BALUANA,10677,BALUANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,64.54,B,Performer,74.27,B,Performer,65.32,B,Performer,70.45,B,Performer,73.53,B,Performer,49.43,C,Aspirant,57.47,C,Aspirant,81.37,A,Front Runner,66.57,B,Performer,52.63,Unknown,Unknown,4868.0,1680.0,0.0,3188.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,946.0,946.0,733.0,1002.0,586.0,816.0,0.0,0.0,557.0,445.0
35772,BEHMAN DIWANA,10679,BEHMAN DEWANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,60.94,B,Performer,73.58,B,Performer,71.51,B,Performer,57.89,C,Aspirant,61.92,B,Performer,53.71,C,Aspirant,55.06,C,Aspirant,76.22,A,Front Runner,54.32,C,Aspirant,52.63,Unknown,Unknown,6187.0,3087.0,0.0,3100.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1092.0,1092.0,555.0,987.0,409.0,722.0,0.0,0.0,425.0,562.0
35773,Bir Behman,10683,BIR BEHMAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,60.63,B,Performer,70.75,B,Performer,72.95,B,Performer,76.43,A,Front Runner,49.01,C,Aspirant,43.08,C,Aspirant,54.44,C,Aspirant,76.24,A,Front Runner,64.04,B,Performer,52.63,Unknown,Unknown,2540.0,1203.0,0.0,1337.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,467.0,467.0,345.0,639.0,310.0,584.0,0.0,0.0,307.0,332.0
35769,Burj Mehma,10684,BURJ MEHMA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,62.83,B,Performer,66.5,B,Performer,71.61,B,Performer,75.93,A,Front Runner,67.3,B,Performer,48.35,C,Aspirant,58.35,C,Aspirant,69.51,B,Performer,66.47,B,Performer,52.63,Unknown,Unknown,3095.0,1641.0,0.0,1454.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,600.0,600.0,725.0,1411.0,661.0,1292.0,0.0,0.0,695.0,716.0
35780,Chughe Kalan,10685,CHUGHE KALAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,64.32,B,Performer,70.09,B,Performer,75.24,A,Front Runner,73.09,B,Performer,69.71,B,Performer,52.9,C,Aspirant,52.27,C,Aspirant,74.29,B,Performer,68.21,B,Performer,52.63,Unknown,Unknown,3955.0,1255.0,0.0,2700.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,824.0,824.0,439.0,838.0,351.0,684.0,0.0,0.0,410.0,428.0
35774,Chughe Khurd,10686,CHUGHE KHURD,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.71,B,Performer,65.89,B,Performer,81.29,A,Front Runner,68.5,B,Performer,61.51,B,Performer,54.7,C,Aspirant,62.84,B,Performer,73.76,B,Performer,64.0,B,Performer,52.63,Unknown,Unknown,2575.0,1274.0,0.0,1301.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,466.0,466.0,293.0,599.0,233.0,476.0,0.0,0.0,297.0,302.0
35770,Deon,10688,DEON,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,64.88,B,Performer,82.43,A,Front Runner,75.62,A,Front Runner,57.78,C,Aspirant,71.98,B,Performer,49.54,C,Aspirant,61.19,B,Performer,84.57,A,Front Runner,62.32,B,Performer,52.63,Unknown,Unknown,7140.0,2851.0,0.0,4289.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1361.0,1361.0,558.0,1172.0,484.0,1040.0,0.0,0.0,602.0,570.0
35803,GEHRI DEVI NAGAR,10690,GEHRI DEVI NAGAR,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,63.26,B,Performer,73.55,B,Performer,69.86,B,Performer,80.49,A,Front Runner,61.1,B,Performer,55.95,C,Aspirant,48.93,C,Aspirant,76.58,A,Front Runner,58.31,C,Aspirant,52.63,Unknown,Unknown,5580.0,1465.0,0.0,4115.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,953.0,953.0,360.0,680.0,221.0,406.0,0.0,0.0,321.0,359.0
35795,GULABGARH URF NAIWALA,10693,GULABGARH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,64.02,B,Performer,68.48,B,Performer,80.04,A,Front Runner,76.26,A,Front Runner,74.89,B,Performer,51.41,C,Aspirant,48.91,C,Aspirant,76.16,A,Front Runner,62.47,B,Performer,52.63,Unknown,Unknown,1756.0,566.0,0.0,1190.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,342.0,342.0,193.0,314.0,155.0,260.0,0.0,0.0,148.0,166.0
35793,JASSI PAUWALI,10696,JASSI PAU WALI,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,64.06,B,Performer,72.74,B,Performer,78.52,A,Front Runner,67.81,B,Performer,69.48,B,Performer,52.74,C,Aspirant,54.5,C,Aspirant,73.6,B,Performer,62.32,B,Performer,52.63,Unknown,Unknown,3155.0,1099.0,0.0,2056.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,606.0,606.0,297.0,462.0,196.0,297.0,0.0,0.0,180.0,282.0
