VILLAGE_NAME,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS
BAHO SIVIAN (PATTI BASAWA),BAHO SIVIAN (PATTI BASAWA),Bathinda,Bathinda,Punjab,485.0,67.0,0.0,418.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,95.0,95.0
Baho Yatri,Baho Yatri,Bathinda,Bathinda,Punjab,953.0,264.0,0.0,689.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,209.0,209.0
BAHO SIVIAN (PATTI DHARMA),Bahosivianpatidharamsingh,Bathinda,Bathinda,Punjab,548.0,120.0,0.0,428.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,98.0,98.0
Buladewala,Balade Wala,Bathinda,Bathinda,Punjab,2642.0,1307.0,0.0,1335.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,568.0,568.0
Balluana,Baluana,Bathinda,Bathinda,Punjab,4868.0,1680.0,0.0,3188.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,946.0,946.0
Behman Diwana,Behman Dewana,Bathinda,Bathinda,Punjab,6187.0,3087.0,0.0,3100.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1092.0,1092.0
Bhagu,Bhagu,Bathinda,Bathinda,Punjab,2138.0,988.0,0.0,1150.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,413.0,413.0
Bhisiana,Bhisiana,Bathinda,Bathinda,Punjab,,,,,,,,,,
Bir Behman,Bir Behman,Bathinda,Bathinda,Punjab,2540.0,1203.0,0.0,1337.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,467.0,467.0
Bir Talab,Bir Talab,Bathinda,Bathinda,Punjab,7208.0,6321.0,0.0,887.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1562.0,1562.0
