Village Name,Panchayat Name,Block Name,District Name,State Name,Total Population,SC Population,ST Population,GEN Population,No. of Habitations,Is PWS Available,JJM Status,Har Ghar Jal Certificate,Total Households,Total Tap Connections
BAHO SIVIAN (PATTI BASAWA),BAHO SIVIAN (PATTI BASAWA),Bathinda,Bathinda,Punjab,485,67,0,418,1,Yes,Har ghar jal certified,Certificate by public health engineering department,95,95
Baho Yatri,Baho Yatri,Bathinda,Bathinda,Punjab,953,264,0,689,1,Yes,Har ghar jal certified,Certificate by public health engineering department,209,209
BAHO SIVIAN (PATTI DHARMA),Bahosivianpatidharamsingh,Bathinda,Bathinda,Punjab,548,120,0,428,1,Yes,Har ghar jal certified,Certificate by public health engineering department,98,98
Buladewala,Balade Wala,Bathinda,Bathinda,Punjab,2642,1307,0,1335,2,Yes,Har ghar jal certified,Certificate by public health engineering department,568,568
Balluana,Baluana,Bathinda,Bathinda,Punjab,4868,1680,0,3188,2,Yes,Har ghar jal certified,Certificate by public health engineering department,946,946
Behman Diwana,Behman Dewana,Bathinda,Bathinda,Punjab,6187,3087,0,3100,4,Yes,Har ghar jal certified,Certificate by public health engineering department,1092,1092
Bhagu,Bhagu,Bathinda,Bathinda,Punjab,2138,988,0,1150,1,Yes,Har ghar jal certified,Certificate by public health engineering department,413,413
Bhisiana,Bhisiana,Bathinda,Bathinda,Punjab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bir Behman,Bir Behman,Bathinda,Bathinda,Punjab,2540,1203,0,1337,1,Yes,Har ghar jal certified,Certificate by public health engineering department,467,467
Bir Talab,Bir Talab,Bathinda,Bathinda,Punjab,7208,6321,0,887,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1562,1562
Burj Mehma,Burj Mehma,Bathinda,Bathinda,Punjab,3095,1641,0,1454,1,Yes,Har ghar jal certified,Certificate by public health engineering department,600,600
Chughe Kalan,Chughe Kalan,Bathinda,Bathinda,Punjab,3955,1255,0,2700,1,Yes,Har ghar jal certified,Certificate by public health engineering department,824,824
Chughe Khurd,Chughe Khurd,Bathinda,Bathinda,Punjab,2575,1274,0,1301,2,Yes,Har ghar jal certified,Certificate by public health engineering department,466,466
Deon,Deon,Bathinda,Bathinda,Punjab,7140,2851,0,4289,4,Yes,Har ghar jal certified,Certificate by public health engineering department,1361,1361
Gehri Devi Nagar Urf Gehri Bhagi,Gehri Devi Nagar,Bathinda,Bathinda,Punjab,5580,1465,0,4115,1,Yes,Har ghar jal certified,Certificate by public health engineering department,953,953
Gulabgarh,Gulabgarh,Bathinda,Bathinda,Punjab,1756,566,0,1190,1,Yes,Har ghar jal certified,Certificate by public health engineering department,342,342
Jassi Pau Wali,Jassi Pau Wali,Bathinda,Bathinda,Punjab,3155,1099,0,2056,1,Yes,Har ghar jal certified,Certificate by public health engineering department,606,606
Jhumba,Jhumba,Bathinda,Bathinda,Punjab,4292,1745,0,2547,3,Yes,Har ghar jal certified,Certificate by public health engineering department,943,943
Jodhpur Romana,Jodhpur Romana,Bathinda,Bathinda,Punjab,2288,921,0,1367,2,Yes,Har ghar jal certified,Certificate by public health engineering department,457,457
Karamgarh Satran,Karamgarh Satran,Bathinda,Bathinda,Punjab,1771,950,0,821,2,Yes,Har ghar jal certified,Certificate by public health engineering department,303,303
Katar Singh Wala,Katar Singh Wala,Bathinda,Bathinda,Punjab,2284,750,0,1534,1,Yes,Har ghar jal certified,Certificate by public health engineering department,393,393
Mian,Mian,Bathinda,Bathinda,Punjab,911,470,0,441,1,Yes,Har ghar jal certified,Certificate by public health engineering department,150,150
Multania,Multania,Bathinda,Bathinda,Punjab,1415,726,0,689,2,Yes,Har ghar jal certified,Certificate by public health engineering department,260,260
Naruana,Naruana,Bathinda,Bathinda,Punjab,4134,1807,0,2327,3,Yes,Har ghar jal certified,Certificate by public health engineering department,737,737
Phus Mandi,Phus Mandi,Bathinda,Bathinda,Punjab,1953,1180,0,773,2,Yes,Har ghar jal certified,Certificate by public health engineering department,376,376
Sardargarh,Sardargarh,Bathinda,Bathinda,Punjab,2482,1054,0,1428,3,Yes,Har ghar jal certified,Certificate by public health engineering department,470,470
Teona,Teona,Bathinda,Bathinda,Punjab,3994,1506,0,2488,4,Yes,Har ghar jal certified,Certificate by public health engineering department,686,686
Virk Kalan,Virk Kalan,Bathinda,Bathinda,Punjab,2751,860,0,1891,1,Yes,Har ghar jal certified,Certificate by public health engineering department,538,538
Virk Khurd,Virk Khurd,Bathinda,Bathinda,Punjab,2158,1153,0,1005,1,Yes,Har ghar jal certified,Certificate by public health engineering department,429,429
Adampura,Adampura,Bhagta Bhaika,Bathinda,Punjab,2024,836,0,1188,1,Yes,Har ghar jal certified,Certificate by public health engineering department,394,394
Aklia Jalal,Aklia Jalal,Bhagta Bhaika,Bathinda,Punjab,3417,879,0,2538,1,Yes,Har ghar jal certified,Certificate by public health engineering department,730,730
Bhodipura,Bhodipura,Bhagta Bhaika,Bathinda,Punjab,3577,2538,0,1039,3,Yes,Har ghar jal certified,Certificate by public health engineering department,863,863
Burj Ladha Singh Wala,Burj Ladha Singh,Bhagta Bhaika,Bathinda,Punjab,2186,1137,0,1049,1,Yes,Har ghar jal certified,Certificate by public health engineering department,416,416
Burj Tharor,Burj Throar,Bhagta Bhaika,Bathinda,Punjab,1496,713,0,783,1,Yes,Har ghar jal certified,Certificate by public health engineering department,282,282
Dyalpura Bhaika,Dialpura Bhaika,Bhagta Bhaika,Bathinda,Punjab,5282,1887,0,3395,4,Yes,Har ghar jal certified,Certificate by public health engineering department,1035,1035
Dyalpura Mirza,Dialpura Mirza,Bhagta Bhaika,Bathinda,Punjab,5058,2378,0,2680,1,Yes,Har ghar jal certified,Certificate by public health engineering department,950,950
Gaunspura,Gaunspura,Bhagta Bhaika,Bathinda,Punjab,724,328,0,396,1,Yes,Har ghar jal certified,Certificate by public health engineering department,121,121
Gumti Kalan,Gumti Kalan,Bhagta Bhaika,Bathinda,Punjab,6756,2927,0,3829,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1110,1110
Gurusar,Gurusar,Bhagta Bhaika,Bathinda,Punjab,2304,431,0,1873,1,Yes,Har ghar jal certified,Certificate by public health engineering department,486,486
Hakam Singh Wala,Hakam Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1718,616,0,1102,1,Yes,Har ghar jal certified,Certificate by public health engineering department,314,314
Hamirgarh,Hamirgarh,Bhagta Bhaika,Bathinda,Punjab,3494,1792,0,1702,1,Yes,Har ghar jal certified,Certificate by public health engineering department,704,704
Jalal,Jalal,Bhagta Bhaika,Bathinda,Punjab,6769,2814,0,3955,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1298,1298
Kanger,Kangar,Bhagta Bhaika,Bathinda,Punjab,2085,1113,0,972,2,Yes,Har ghar jal certified,Certificate by public health engineering department,402,402
Kesar Singh Wala,Kesar Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1300,688,0,612,2,Yes,Har ghar jal certified,Certificate by public health engineering department,261,261
Kaur Singh Wala,Koer Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1547,416,0,1131,2,Yes,Har ghar jal certified,Certificate by public health engineering department,263,263
Neor,Neor,Bhagta Bhaika,Bathinda,Punjab,1980,1106,0,874,3,Yes,Har ghar jal certified,Certificate by public health engineering department,373,373
RAJGARH,RAJGARH,Bhagta Bhaika,Bathinda,Punjab,2269,977,0,1292,2,Yes,Har ghar jal certified,Certificate by public health engineering department,459,459
Ramu Wala,Ramu Wala,Bhagta Bhaika,Bathinda,Punjab,1547,594,0,953,1,Yes,Har ghar jal certified,Certificate by public health engineering department,278,278
Salabatpura,Salabatpura,Bhagta Bhaika,Bathinda,Punjab,2065,645,0,1420,1,Yes,Har ghar jal certified,Certificate by public health engineering department,382,382
Sirie Wala,Sirie Wala,Bhagta Bhaika,Bathinda,Punjab,5335,2785,0,2550,1,Yes,Har ghar jal certified,Certificate by public health engineering department,918,918
ABLU,ABLU,GONIANA,Bathinda,Punjab,7966,2762,0,5204,7,Yes,Har ghar jal certified,Certificate by public health engineering department,1378,1378
AKLIAN KALAN,Akalian Kalan,GONIANA,Bathinda,Punjab,4807,2109,0,2698,1,Yes,Har ghar jal certified,Certificate by public health engineering department,810,810
AKLIAN KHURD,AKLIAN KHURD,GONIANA,Bathinda,Punjab,547,77,0,470,1,Yes,Har ghar jal certified,Certificate by public health engineering department,104,104
AMARGARH,AMARGARH,GONIANA,Bathinda,Punjab,1173,458,0,715,1,Yes,Har ghar jal certified,Certificate by public health engineering department,211,211
BALHAR BINJU,Balahar Binjhu,GONIANA,Bathinda,Punjab,2309,888,0,1421,3,Yes,Har ghar jal certified,Certificate by public health engineering department,458,458
BALHAR MEHMA,Balahar Mehma,GONIANA,Bathinda,Punjab,1935,744,0,1191,1,Yes,Har ghar jal certified,Certificate by public health engineering department,393,393
BARKANDI,BARKANDI,GONIANA,Bathinda,Punjab,1482,840,0,642,1,Yes,Har ghar jal certified,Certificate by public health engineering department,225,225
BHOKHRA,BHOKHRA,GONIANA,Bathinda,Punjab,4399,2102,0,2297,1,Yes,Har ghar jal certified,Certificate by public health engineering department,837,837
DAN SINGH WALA,DAN SINGH WALA,GONIANA,Bathinda,Punjab,3392,1137,0,2255,3,Yes,Har ghar jal certified,Certificate by public health engineering department,642,642
GANGA,GANGA,GONIANA,Bathinda,Punjab,3249,1146,0,2103,2,Yes,Har ghar jal certified,Certificate by public health engineering department,584,584
GILL PATTI,GILL PATTI,GONIANA,Bathinda,Punjab,3406,1635,0,1771,1,Yes,Har ghar jal certified,Certificate by public health engineering department,592,592
GONIANA KALAN,GONIANA KALAN,GONIANA,Bathinda,Punjab,2329,678,0,1651,1,Yes,Har ghar jal certified,Certificate by public health engineering department,421,421
GONIANA KHURD,GONIANA KHURD,GONIANA,Bathinda,Punjab,2366,1081,0,1285,1,Yes,Har ghar jal certified,Certificate by public health engineering department,445,445
HAR RAI PUR,Har Raipur Alias Bhokhri,GONIANA,Bathinda,Punjab,4353,1623,0,2730,1,Yes,Har ghar jal certified,Certificate by public health engineering department,894,894
JANDAN WALA,JANDAN WALA,GONIANA,Bathinda,Punjab,5286,1829,0,3457,4,Yes,Har ghar jal certified,Certificate by public health engineering department,999,999
JEEDA,JEEDA,GONIANA,Bathinda,Punjab,5574,2202,0,3372,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1057,1057
KHEMUANA,KHEMUANA,GONIANA,Bathinda,Punjab,3104,1453,0,1651,1,Yes,Har ghar jal certified,Certificate by public health engineering department,603,603
KHIALIWALA,KHIALIWALA,GONIANA,Bathinda,Punjab,3091,1298,0,1793,1,Yes,Har ghar jal certified,Certificate by public health engineering department,553,553
KILLI NIHAL SINGH,Kili Nihal Singh,GONIANA,Bathinda,Punjab,3054,1528,0,1526,4,Yes,Har ghar jal certified,Certificate by public health engineering department,674,674
MEHMA BHAGWANA,MEHMA BHAGWANA,GONIANA,Bathinda,Punjab,1463,617,0,846,1,Yes,Har ghar jal certified,Certificate by public health engineering department,328,328
MEHMA SARJA,MEHMA SARJA,GONIANA,Bathinda,Punjab,7990,3259,0,4731,8,Yes,Har ghar jal certified,Certificate by public health engineering department,1553,1553
MEHMA SARKARI,MEHMA SARKARI,GONIANA,Bathinda,Punjab,1686,583,0,1103,2,Yes,Har ghar jal certified,Certificate by public health engineering department,318,318
MEHMA SWAI,MEHMA SWAI,GONIANA,Bathinda,Punjab,5236,2363,0,2873,6,Yes,Har ghar jal certified,Certificate by public health engineering department,1086,1086
NEHIAN WALA,Nahian Wala,GONIANA,Bathinda,Punjab,6911,2826,0,4085,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1285,1285
SIVIAN,SIVIAN,GONIANA,Bathinda,Punjab,6296,2710,0,3586,3,Yes,Har ghar jal certified,Certificate by public health engineering department,1185,1185
Bagher Charat Singh,Bagair Charat Singh,Maur,Bathinda,Punjab,1153,424,0,729,2,Yes,Har ghar jal certified,Certificate by public health engineering department,242,242
Bagher Mohabat,Bagair Mohabatsingh,Maur,Bathinda,Punjab,931,333,0,598,1,Yes,Har ghar jal certified,Certificate by public health engineering department,182,182
Bhai Bakhtaur,Bhai Bakhtaur,Maur,Bathinda,Punjab,2736,1468,0,1268,2,Yes,Har ghar jal certified,Certificate by public health engineering department,524,524
Burj,Burj,Maur,Bathinda,Punjab,2770,1473,0,1297,2,Yes,Har ghar jal certified,Certificate by public health engineering department,515,515
Burj Sema,Burj Sema,Maur,Bathinda,Punjab,1766,586,0,1180,1,Yes,Har ghar jal certified,Certificate by public health engineering department,352,352
Chanarthal,Chanarthal,Maur,Bathinda,Punjab,2832,1226,0,1606,1,Yes,Har ghar jal certified,Certificate by public health engineering department,514,514
Chathe Wala,Chathe Wala,Maur,Bathinda,Punjab,2839,761,0,2078,1,Yes,Har ghar jal certified,Certificate by public health engineering department,535,535
Dhan Singh Khana,Dhan Singh Khana,Maur,Bathinda,Punjab,2179,847,0,1332,1,Yes,Har ghar jal certified,Certificate by public health engineering department,432,432
Gehri Bara Singh,Gehri Bara Singh,Maur,Bathinda,Punjab,1739,778,0,961,1,Yes,Har ghar jal certified,Certificate by public health engineering department,292,292
Ghaso Khana,Ghaso Khana,Maur,Bathinda,Punjab,730,223,0,507,1,Yes,Har ghar jal certified,Certificate by public health engineering department,132,132
Ghuman Kalan,Ghuman Kalan,Maur,Bathinda,Punjab,5882,1910,0,3972,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1074,1074
Ghuman Khurd,Ghuman Khurd,Maur,Bathinda,Punjab,925,199,0,726,1,Yes,Har ghar jal certified,Certificate by public health engineering department,190,190
Jodhpur Pakhar,Jodhpur Pakhar,Maur,Bathinda,Punjab,4898,2039,0,2859,2,Yes,Har ghar jal certified,Certificate by public health engineering department,962,962
Kamalu,Kamalu,Maur,Bathinda,Punjab,2240,985,0,1255,1,Yes,Har ghar jal certified,Certificate by public health engineering department,394,394
Kot Bhara,Kot Bhara,Maur,Bathinda,Punjab,2794,1040,0,1754,1,Yes,Har ghar jal certified,Certificate by public health engineering department,537,537
Kotli Khurd,Kotli Khurd,Maur,Bathinda,Punjab,3228,958,0,2270,3,Yes,Har ghar jal certified,Certificate by public health engineering department,643,643
Kutiwal Kalan,Kutiwal Kalan,Maur,Bathinda,Punjab,2125,582,0,1543,2,Yes,Har ghar jal certified,Certificate by public health engineering department,412,412
Kutiwal Khurd,Kutiwal Khurd,Maur,Bathinda,Punjab,1840,312,0,1528,2,Yes,Har ghar jal certified,Certificate by public health engineering department,341,341
Maisar Khana,Maisar Khana,Maur,Bathinda,Punjab,4945,1771,0,3174,2,Yes,Har ghar jal certified,Certificate by public health engineering department,942,942
Manak Khana,Manak Khana,Maur,Bathinda,Punjab,590,81,0,509,1,Yes,Har ghar jal certified,Certificate by public health engineering department,113,113
Mansa Kalan,Mansa Kalan,Maur,Bathinda,Punjab,3397,1111,0,2286,2,Yes,Har ghar jal certified,Certificate by public health engineering department,598,598
Mari,Mari,Maur,Bathinda,Punjab,1027,263,0,764,1,Yes,Har ghar jal certified,Certificate by public health engineering department,210,210
Maur Charat Singh,Maur Charat Singh,Maur,Bathinda,Punjab,2957,1527,0,1430,1,Yes,Har ghar jal certified,Certificate by public health engineering department,541,541
Natt,Natt,Maur,Bathinda,Punjab,1437,559,0,878,1,Yes,Har ghar jal certified,Certificate by public health engineering department,227,227
Rai Khana,Rai Khana,Maur,Bathinda,Punjab,2076,503,0,1573,1,Yes,Har ghar jal certified,Certificate by public health engineering department,393,393
Rajgarh Kube,Rajgarh Kube,Maur,Bathinda,Punjab,4644,1637,0,3007,4,Yes,Har ghar jal certified,Certificate by public health engineering department,950,950
Ram Nagar,Ram Nagar,Maur,Bathinda,Punjab,5065,2666,0,2399,2,Yes,Har ghar jal certified,Certificate by public health engineering department,817,817
Ramgarh Bhunder,Ramgarh Bhunder,Maur,Bathinda,Punjab,1984,770,0,1214,1,Yes,Har ghar jal certified,Certificate by public health engineering department,396,396
Sandoha,Sandoha,Maur,Bathinda,Punjab,3781,1461,0,2320,2,Yes,Har ghar jal certified,Certificate by public health engineering department,840,840
Sukha Singh Wala,Sukha Singh Wala,Maur,Bathinda,Punjab,968,502,0,466,2,Yes,Har ghar jal certified,Certificate by public health engineering department,162,162
Swaitch,Swaitch,Maur,Bathinda,Punjab,1463,181,0,1282,1,Yes,Har ghar jal certified,Certificate by public health engineering department,254,254
Thaman Garh,Thaman Garh,Maur,Bathinda,Punjab,1339,556,0,783,1,Yes,Har ghar jal certified,Certificate by public health engineering department,235,235
Yatri,Yatri,Maur,Bathinda,Punjab,1277,495,0,782,2,Yes,Har ghar jal certified,Certificate by public health engineering department,254,254
Bajoana,Bajoana,Nathana,Bathinda,Punjab,2073,603,0,1470,1,Yes,Har ghar jal certified,Certificate by public health engineering department,385,385
Bath,Bath,Nathana,Bathinda,Punjab,1536,586,0,950,1,Yes,Har ghar jal certified,Certificate by public health engineering department,278,278
Bhaini,Bhaini,Nathana,Bathinda,Punjab,3223,1513,0,1710,1,Yes,Har ghar jal certified,Certificate by public health engineering department,552,552
Bhucho Kalan,Bhucho Kalan,Nathana,Bathinda,Punjab,8242,2442,0,5800,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1590,1590
Bhucho Khurd,Bhucho Khurd,Nathana,Bathinda,Punjab,5330,2429,0,2901,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1035,1035
Bibiwala,Bibiwala,Nathana,Bathinda,Punjab,3437,853,0,2584,2,Yes,Har ghar jal certified,Certificate by public health engineering department,580,580
Burj Dalla,Burj Dalla,Nathana,Bathinda,Punjab,405,110,0,295,2,Yes,Har ghar jal certified,Certificate by public health engineering department,79,79
Burj Kahan Singh Wala,Burj Kahan Singh Wala,Nathana,Bathinda,Punjab,2246,1269,0,977,2,Yes,Har ghar jal certified,Certificate by public health engineering department,426,426
Chak Bakhtu,Chak Bakhtu,Nathana,Bathinda,Punjab,3215,1305,0,1910,3,Yes,Har ghar jal certified,Certificate by public health engineering department,562,562
Chak Fateh Singh Wala,Chak Fateh Singh Wala,Nathana,Bathinda,Punjab,4504,2504,0,2000,3,Yes,Har ghar jal certified,Certificate by public health engineering department,806,806
Chak Ram Singh Wala,Chak Ram Singh Wala,Nathana,Bathinda,Punjab,3332,1222,0,2110,3,Yes,Har ghar jal certified,Certificate by public health engineering department,604,604
Dhelwan,Dhelwan,Nathana,Bathinda,Punjab,2129,856,0,1273,1,Yes,Har ghar jal certified,Certificate by public health engineering department,358,358
Ganga,Ganga,Nathana,Bathinda,Punjab,2746,1080,0,1666,2,Yes,Har ghar jal certified,Certificate by public health engineering department,475,475
Gidder,Giddar,Nathana,Bathinda,Punjab,2740,778,0,1962,2,Yes,Har ghar jal certified,Certificate by public health engineering department,446,446
Gobindpura,Gobindpura,Nathana,Bathinda,Punjab,8027,2659,0,5368,3,Yes,Har ghar jal certified,Certificate by public health engineering department,1428,1428
Joganand,Joganand,Nathana,Bathinda,Punjab,2267,885,0,1382,2,Yes,Har ghar jal certified,Certificate by public health engineering department,431,431
Kalyan Malki,Kalyan Malka,Nathana,Bathinda,Punjab,1820,418,0,1402,1,Yes,Har ghar jal certified,Certificate by public health engineering department,324,324
Kalyan Sadda,Kalyan Sadda,Nathana,Bathinda,Punjab,1993,1113,0,880,1,Yes,Har ghar jal certified,Certificate by public health engineering department,365,365
Kalyan Sukha,Kalyan Sukha,Nathana,Bathinda,Punjab,3935,1442,0,2493,2,Yes,Har ghar jal certified,Certificate by public health engineering department,714,714
Lehra Bega,Lehra Bega,Nathana,Bathinda,Punjab,3332,1034,0,2298,2,Yes,Har ghar jal certified,Certificate by public health engineering department,614,614
Lehra Dhurkot,Lehra Dhurkot,Nathana,Bathinda,Punjab,2965,1466,0,1499,2,Yes,Har ghar jal certified,Certificate by public health engineering department,561,561
Lehra Khana,Lehra Khana,Nathana,Bathinda,Punjab,2118,703,0,1415,1,Yes,Har ghar jal certified,Certificate by public health engineering department,404,404
Lehra Mohabat,Lehra Mohabat,Nathana,Bathinda,Punjab,10126,3982,0,6144,6,Yes,Har ghar jal certified,Certificate by public health engineering department,1994,1994
Lehra Sondha,Lehra Sondha,Nathana,Bathinda,Punjab,1578,468,0,1110,2,Yes,Har ghar jal certified,Certificate by public health engineering department,263,263
Mari,Mari,Nathana,Bathinda,Punjab,1263,536,0,727,1,Yes,Har ghar jal certified,Certificate by public health engineering department,210,210
Nathpura,Nathpura,Nathana,Bathinda,Punjab,2893,1162,0,1731,1,Yes,Har ghar jal certified,Certificate by public health engineering department,555,555
Poohla,Poohla,Nathana,Bathinda,Punjab,5694,2336,0,3358,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1223,1223
Poohli,Poohli,Nathana,Bathinda,Punjab,4370,2344,0,2026,1,Yes,Har ghar jal certified,Certificate by public health engineering department,848,848
Sema,Sema,Nathana,Bathinda,Punjab,4766,2088,0,2678,2,Yes,Har ghar jal certified,Certificate by public health engineering department,850,850
Tungwali,Tungwali,Nathana,Bathinda,Punjab,7452,2630,0,4822,4,Yes,Har ghar jal certified,Certificate by public health engineering department,1436,1436
Alike,Alike,Phul,Bathinda,Punjab,2290,1047,0,1243,1,Yes,Har ghar jal certified,Certificate by public health engineering department,451,451
Burj Gill,Burj Gill,Phul,Bathinda,Punjab,2621,1107,0,1514,4,Yes,Har ghar jal certified,Certificate by public health engineering department,445,445
Dhinger,Dhinger,Phul,Bathinda,Punjab,1546,513,0,1033,2,Yes,Har ghar jal certified,Certificate by public health engineering department,284,284
Dhapali,Dhipali,Phul,Bathinda,Punjab,7005,1846,0,5159,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1886,1886
Dulewala,Dulewala,Phul,Bathinda,Punjab,2695,970,0,1725,1,Yes,Har ghar jal certified,Certificate by public health engineering department,512,512
Ghanda Bana,Ghanda Bana,Phul,Bathinda,Punjab,2716,941,0,1775,1,Yes,Har ghar jal certified,Certificate by public health engineering department,531,531
Harnam Singh Wala,Harnam Singh Wala,Phul,Bathinda,Punjab,1426,454,0,972,3,Yes,Har ghar jal certified,Certificate by public health engineering department,260,260
Kaloke,Kaloke,Phul,Bathinda,Punjab,946,269,0,677,1,Yes,Har ghar jal certified,Certificate by public health engineering department,162,162
Phule Wala,Phule Wala,Phul,Bathinda,Punjab,2140,816,0,1324,1,Yes,Har ghar jal certified,Certificate by public health engineering department,424,424
RAYIA,RAYIA,Phul,Bathinda,Punjab,4703,1120,0,3583,2,Yes,Har ghar jal certified,Certificate by public health engineering department,864,864
Sidhana,Sadhana,Phul,Bathinda,Punjab,2214,844,0,1370,2,Yes,Har ghar jal certified,Certificate by public health engineering department,439,439
Sandhu Khurd,Sandhu Khurd,Phul,Bathinda,Punjab,1427,310,0,1117,1,Yes,Har ghar jal certified,Certificate by public health engineering department,270,270
Sailbrah,Selbrah,Phul,Bathinda,Punjab,5432,1948,0,3484,3,Yes,Har ghar jal certified,Certificate by public health engineering department,957,957
Badiala,Badiala,RAMPURA,Bathinda,Punjab,1962,722,0,1240,2,Yes,Har ghar jal certified,Certificate by public health engineering department,454,454
BALIANWALI,Balianwali,RAMPURA,Bathinda,Punjab,9118,2348,0,6770,1,Yes,Har ghar jal certified,Certificate by public health engineering department,1649,1649
