Village Name,Panchayat Name,Block Name,District Name,State Name,Total Population,SC Population,ST Population,GEN Population,No. of Habitations,Is PWS Available,JJM Status,Har Ghar Jal Certificate,Total Households,Total Tap Connections
Aladadpur,Aladadpur,Amloh,Fatehgarh Sahib,Punjab,567,480,0,87,1,Yes,Har ghar jal certified,Certificate by public health engineering department,106,106
ALI PUR SANDAL,ALIPUR SANDAL,Amloh,Fatehgarh Sahib,Punjab,710,575,0,135,1,Yes,Har ghar jal certified,Certificate by public health engineering department,133,133
Annian,Annian,Amloh,Fatehgarh Sahib,Punjab,910,400,0,510,1,Yes,Har ghar jal certified,Certificate by public health engineering department,187,187
Badgujran,Bad Gujjran,Amloh,Fatehgarh Sahib,Punjab,927,389,0,538,1,Yes,Har ghar jal certified,Certificate by public health engineering department,174,174
Badali,Badali,Amloh,Fatehgarh Sahib,Punjab,1112,423,0,689,1,Yes,Har ghar jal certified,Certificate by public health engineering department,209,209
Badeenpur,Badin Pur,Amloh,Fatehgarh Sahib,Punjab,1896,816,0,1080,1,Yes,Har ghar jal certified,Certificate by public health engineering department,379,379
Baina Bulland,Baina Bulland,Amloh,Fatehgarh Sahib,Punjab,773,643,0,130,1,Yes,Har ghar jal certified,Certificate by public health engineering department,148,148
Bronga Bulland,Baronga Buland,Amloh,Fatehgarh Sahib,Punjab,691,311,0,380,1,Yes,Har ghar jal certified,Certificate by public health engineering department,145,145
Brongazer,Baronga Jar,Amloh,Fatehgarh Sahib,Punjab,1184,427,0,757,1,Yes,Har ghar jal certified,Certificate by public health engineering department,215,215
Banizer,Benizer,Amloh,Fatehgarh Sahib,Punjab,505,117,0,388,1,Yes,Har ghar jal certified,Certificate by public health engineering department,105,105
Bhadal Thua,Bhadal Thuha,Amloh,Fatehgarh Sahib,Punjab,3499,980,0,2519,1,Yes,Har ghar jal certified,Certificate by public health engineering department,672,672
Bhagwanpur,Bhagwanpura,Amloh,Fatehgarh Sahib,Punjab,885,570,0,315,1,Yes,Har ghar jal certified,Certificate by public health engineering department,156,156
