Village Name,Panchayat Name,Block Name,District Name,State Name,Total Population,SC Population,ST Population,GEN Population,No. of Habitations,Is PWS Available,JJM Status,Har Ghar Jal Certificate,Total Households,Total Tap Connections
Abdulpur,Abdulpur,Bhuner Heri,Patiala,Punjab,239,116,0,123,1,Yes,Har ghar jal certified,Certificate by public health engineering department,46,46
Ahru Kalan,Ahru Kalan,Bhuner Heri,Patiala,Punjab,1347,103,0,1244,2,Yes,Har ghar jal certified,Certificate by public health engineering department,240,240
Ahru Khurd,Ahru Khurd,Bhuner Heri,Patiala,Punjab,560,110,0,450,1,Yes,Har ghar jal certified,Certificate by public health engineering department,104,104
AKALGARH,AKALGARH,Bhuner Heri,Patiala,Punjab,820,350,12,458,2,Yes,Har ghar jal certified,Certificate by public health engineering department,151,151
Akbarpur Afgana,Akbarpur Afgana,Bhuner Heri,Patiala,Punjab,433,14,0,419,1,Yes,Har ghar jal certified,Certificate by public health engineering department,84,84
Alipur Sikhan,Alipur Sikhan,Bhuner Heri,Patiala,Punjab,549,96,0,453,1,Yes,Har ghar jal certified,Certificate by public health engineering department,100,100
Alipur Wazir Sahib,Alipur Wazidpur Sahib,Bhuner Heri,Patiala,Punjab,788,4,0,784,3,Yes,Har ghar jal certified,Certificate by public health engineering department,114,114
Hussainpur Urf Meharban,Aliwal,Bhuner Heri,Patiala,Punjab,690,165,0,525,3,Yes,Har ghar jal certified,Certificate by public health engineering department,153,153
Arnoli,Arnauli,Bhuner Heri,Patiala,Punjab,514,144,0,370,1,Yes,Har ghar jal certified,Certificate by public health engineering department,95,95
Badla,Badla,Bhuner Heri,Patiala,Punjab,425,70,0,355,1,Yes,Har ghar jal certified,Certificate by public health engineering department,90,90
Badli,Badli,Bhuner Heri,Patiala,Punjab,695,57,0,638,1,Yes,Har ghar jal certified,Certificate by public health engineering department,127,127
Bahadurpur Urf Miranpur,Bahadurpur Miran Wala,Bhuner Heri,Patiala,Punjab,1217,75,0,1142,1,Yes,Har ghar jal certified,Certificate by public health engineering department,196,196
Bangran,Bangran,Bhuner Heri,Patiala,Punjab,436,176,0,260,1,Yes,Har ghar jal certified,Certificate by public health engineering department,80,80
Barkatpur,Barkatpur,Bhuner Heri,Patiala,Punjab,1972,24,0,1948,1,Yes,Har ghar jal certified,Certificate by public health engineering department,317,317
Behal,Behal,Bhuner Heri,Patiala,Punjab,1311,418,0,893,2,Yes,Har ghar jal certified,Certificate by public health engineering department,244,244
Behru,Behru,Bhuner Heri,Patiala,Punjab,1933,341,0,1592,1,Yes,Har ghar jal certified,Certificate by public health engineering department,355,355
Bhagwanpur Jattan,Bhagwanpur Jattan,Bhuner Heri,Patiala,Punjab,612,98,0,514,2,Yes,Har ghar jal certified,Certificate by public health engineering department,116,116
Bhankher,Bhankher,Bhuner Heri,Patiala,Punjab,2058,368,0,1690,1,Yes,Har ghar jal certified,Certificate by public health engineering department,378,378
Bhasmara,Bhasmra,Bhuner Heri,Patiala,Punjab,746,100,0,646,1,Yes,Har ghar jal certified,Certificate by public health engineering department,137,137
Bhattian,Bhatian,Bhuner Heri,Patiala,Punjab,1030,279,0,751,1,Yes,Har ghar jal certified,Certificate by public health engineering department,188,188
Budhmore,Bhudmore,Bhuner Heri,Patiala,Punjab,1707,116,0,1591,2,Yes,Har ghar jal certified,Certificate by public health engineering department,324,324
Bhunerheri,Bhunerheri,Bhuner Heri,Patiala,Punjab,2908,730,0,2178,1,Yes,Har ghar jal certified,Certificate by public health engineering department,572,572
Binjal,Binjal,Bhuner Heri,Patiala,Punjab,2832,198,0,2634,2,Yes,Har ghar jal certified,Certificate by public health engineering department,490,490
Bishangarh Jhuggian,Bishan Garh,Bhuner Heri,Patiala,Punjab,453,17,0,436,1,Yes,Har ghar jal certified,Certificate by public health engineering department,93,93
Bishan Nagar Kotla,Bishan Nagar Kotla,Bhuner Heri,Patiala,Punjab,242,24,0,218,1,Yes,Har ghar jal certified,Certificate by public health engineering department,48,48
Bibipur Khurd,Bivipur,Bhuner Heri,Patiala,Punjab,880,21,0,859,2,Yes,Har ghar jal certified,Certificate by public health engineering department,154,154
Budanpur,Budanpur,Bhuner Heri,Patiala,Punjab,148,0,0,148,1,Yes,Har ghar jal certified,Certificate by public health engineering department,22,22
Bure Majra,Bure Majra,Bhuner Heri,Patiala,Punjab,445,167,0,278,1,Yes,Har ghar jal certified,Certificate by public health engineering department,82,82
Chaprahar,Chaprahar,Bhuner Heri,Patiala,Punjab,716,120,0,596,1,Yes,Har ghar jal certified,Certificate by public health engineering department,113,113
Chirwa,Chirwa,Bhuner Heri,Patiala,Punjab,1024,102,0,922,1,Yes,Har ghar jal certified,Certificate by public health engineering department,175,175
Chirwi,Chirwi,Bhuner Heri,Patiala,Punjab,901,0,0,901,1,Yes,Har ghar jal certified,Certificate by public health engineering department,153,153
Chuhat,Chuhat,Bhuner Heri,Patiala,Punjab,960,137,0,823,7,Yes,Har ghar jal certified,Certificate by public health engineering department,165,165
Dadherian,Dadharian,Bhuner Heri,Patiala,Punjab,369,104,0,265,1,Yes,Har ghar jal certified,Certificate by public health engineering department,72,72
Daulatpur,Daulatpur Faqiran,Bhuner Heri,Patiala,Punjab,529,32,0,497,1,Yes,Har ghar jal certified,Certificate by public health engineering department,81,81
Devi Nagar Urf Hira Singh Wala,Devi Nagar / Hira Singh Wala,Bhuner Heri,Patiala,Punjab,440,80,0,360,1,Yes,Har ghar jal certified,Certificate by public health engineering department,82,82
Devi Nagar Urf Swai Singh Wala,Devi Nagar / Swai Singh Wala,Bhuner Heri,Patiala,Punjab,1399,191,0,1208,1,Yes,Har ghar jal certified,Certificate by public health engineering department,270,270
Dhagrauli,Dhagrauli,Bhuner Heri,Patiala,Punjab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dhandian,Dhandian,Bhuner Heri,Patiala,Punjab,456,98,0,358,1,Yes,Har ghar jal certified,Certificate by public health engineering department,76,76
Diwanwala Urf Udaipur,Diwanwala Urf Udaipur,Bhuner Heri,Patiala,Punjab,2521,760,0,1761,1,Yes,Har ghar jal certified,Certificate by public health engineering department,489,489
Dondi Majra,Dondi Majra,Bhuner Heri,Patiala,Punjab,1134,51,0,1083,1,Yes,Har ghar jal certified,Certificate by public health engineering department,211,211
Dudhan Gujjran,Dudhan Gujran,Bhuner Heri,Patiala,Punjab,922,194,0,728,1,Yes,Har ghar jal certified,Certificate by public health engineering department,164,164
Dudhan Sadhan,Dudhan Sadhan,Bhuner Heri,Patiala,Punjab,1453,459,0,994,3,Yes,Har ghar jal certified,Certificate by public health engineering department,268,268
Durd,Durd,Bhuner Heri,Patiala,Punjab,487,207,0,280,1,Yes,Har ghar jal certified,Certificate by public health engineering department,87,87
Faridpur,Faridpur,Bhuner Heri,Patiala,Punjab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gagrola,Gagraula,Bhuner Heri,Patiala,Punjab,956,170,0,786,2,Yes,Har ghar jal certified,Certificate by public health engineering department,160,160
Gagroli,Gagrauli,Bhuner Heri,Patiala,Punjab,499,84,0,415,1,Yes,Har ghar jal certified,Certificate by public health engineering department,98,98
Ganeshpur,Ganeshpur,Bhuner Heri,Patiala,Punjab,485,0,0,485,1,Yes,Har ghar jal certified,Certificate by public health engineering department,87,87
Gharam,Gharam,Bhuner Heri,Patiala,Punjab,3247,533,0,2714,2,Yes,Har ghar jal certified,Certificate by public health engineering department,627,627
Guthmara,Guthmera,Bhuner Heri,Patiala,Punjab,912,62,0,850,1,Yes,Har ghar jal certified,Certificate by public health engineering department,159,159
Hadiana,Hadiana,Bhuner Heri,Patiala,Punjab,1898,198,0,1700,1,Yes,Har ghar jal certified,Certificate by public health engineering department,354,354
Hajipur,Hajipur,Bhuner Heri,Patiala,Punjab,759,173,0,586,2,Yes,Har ghar jal certified,Certificate by public health engineering department,168,168
Harigarh,Harigarh,Bhuner Heri,Patiala,Punjab,162,18,0,144,1,Yes,Har ghar jal certified,Certificate by public health engineering department,32,32
Hassanpur Kamboan,Hassanpur Kamboan,Bhuner Heri,Patiala,Punjab,1243,175,0,1068,1,Yes,Har ghar jal certified,Certificate by public health engineering department,223,223
Hiragarh,Hiragarh,Bhuner Heri,Patiala,Punjab,736,370,0,366,1,Yes,Har ghar jal certified,Certificate by public health engineering department,142,142
Hussainpur Urf Meharban,Hussainpura,Bhuner Heri,Patiala,Punjab,690,165,0,525,3,Yes,Har ghar jal certified,Certificate by public health engineering department,153,153
Ibrahimpur,Ibrahimpur,Bhuner Heri,Patiala,Punjab,356,0,0,356,1,Yes,Har ghar jal certified,Certificate by public health engineering department,61,61
Isherheri,Isherheri,Bhuner Heri,Patiala,Punjab,1576,447,0,1129,1,Yes,Har ghar jal certified,Certificate by public health engineering department,270,270
Jalalabad,Jalalabad,Bhuner Heri,Patiala,Punjab,613,17,0,596,1,Yes,Har ghar jal certified,Certificate by public health engineering department,79,79
Jalbera,Jalbehra,Bhuner Heri,Patiala,Punjab,977,285,0,692,1,Yes,Har ghar jal certified,Certificate by public health engineering department,173,173
Julah Kheri,Jallah Kheri,Bhuner Heri,Patiala,Punjab,1601,36,0,1565,2,Yes,Har ghar jal certified,Certificate by public health engineering department,280,280
Jodhpur,Jodhpur,Bhuner Heri,Patiala,Punjab,356,201,0,155,1,Yes,Har ghar jal certified,Certificate by public health engineering department,77,77
Kachhwa,Kachwa,Bhuner Heri,Patiala,Punjab,953,659,0,294,1,Yes,Har ghar jal certified,Certificate by public health engineering department,167,167
