Village Name,Panchayat Name,Block Name,District Name,State Name,Total Population,SC Population,ST Population,GEN Population,No. of Habitations,Is PWS Available,JJM Status,Har Ghar Jal Certificate,Total Households,Total Tap Connections
Aggampur,Agampur Excluding Gra,Anandpur Sahib,Rupnagar,Punjab,7723,1100,0,6623,4,Yes,Har ghar jal certified,Certificate by public health engineering department,1238,1238
Sahota,Agampur Excluding Gra,Anandpur Sahib,Rupnagar,Punjab,546,82,0,464,1,Yes,Har ghar jal certified,Certificate by public health engineering department,93,93
Algran,Ahlgaran,Anandpur Sahib,Rupnagar,Punjab,450,56,0,394,1,Yes,Har ghar jal certified,Certificate by public health engineering department,140,140
Ajouli,Ajauli,Anandpur Sahib,Rupnagar,Punjab,1025,128,0,897,1,Yes,Har ghar jal certified,Certificate by public health engineering department,540,540
Baddal,Baddal,Anandpur Sahib,Rupnagar,Punjab,527,232,0,295,2,Yes,Har ghar jal certified,Certificate by public health engineering department,167,167
Bainspur,Bainspur,Anandpur Sahib,Rupnagar,Punjab,215,27,0,188,1,Yes,Har ghar jal certified,Certificate by public health engineering department,43,43
Baloli,Baloli,Anandpur Sahib,Rupnagar,Punjab,1178,88,0,1090,3,Yes,Har ghar jal certified,Certificate by public health engineering department,230,230
Bandhlehri,Bandlehri,Anandpur Sahib,Rupnagar,Punjab,594,74,0,520,1,Yes,Har ghar jal certified,Certificate by public health engineering department,126,126
Palsari,Bandlehri,Anandpur Sahib,Rupnagar,Punjab,25,3,0,22,1,Yes,Har ghar jal certified,Certificate by public health engineering department,15,15
Bani,Bani,Anandpur Sahib,Rupnagar,Punjab,587,293,0,294,1,Yes,Har ghar jal certified,Certificate by public health engineering department,161,161
Baruwal,Baruwal,Anandpur Sahib,Rupnagar,Punjab,851,21,0,830,2,Yes,Har ghar jal certified,Certificate by public health engineering department,146,146
BABHOUR SAHIB,Bas,Anandpur Sahib,Rupnagar,Punjab,3178,842,0,2336,5,Yes,Har ghar jal certified,Certificate by public health engineering department,702,702
Bassowal,BASSOWAL,Anandpur Sahib,Rupnagar,Punjab,1665,208,0,1457,1,Yes,Har ghar jal certified,Certificate by public health engineering department,333,333
DHOLOWAL,BASSOWAL,Anandpur Sahib,Rupnagar,Punjab,116,14,0,102,1,Yes,Har ghar jal certified,Certificate by public health engineering department,30,30
BEHLU,BEHLU,Anandpur Sahib,Rupnagar,Punjab,1712,162,0,1550,4,Yes,Har ghar jal certified,Certificate by public health engineering department,350,350
Bela Dhiani,Bela Dhiani,Anandpur Sahib,Rupnagar,Punjab,1105,138,0,967,2,Yes,Har ghar jal certified,Certificate by public health engineering department,282,282
Bela Ramgarh,Bela Ramgarh,Anandpur Sahib,Rupnagar,Punjab,1425,178,0,1247,4,Yes,Har ghar jal certified,Certificate by public health engineering department,285,285
BABHOUR SAHIB,Bhabour Sahib,Anandpur Sahib,Rupnagar,Punjab,3178,842,0,2336,5,Yes,Har ghar jal certified,Certificate by public health engineering department,702,702
Bhallan,Bhalan,Anandpur Sahib,Rupnagar,Punjab,4185,712,0,3473,4,Yes,Har ghar jal certified,Certificate by public health engineering department,842,842
Bhalowal,Bhalowal 290,Anandpur Sahib,Rupnagar,Punjab,75,9,0,66,1,Yes,Har ghar jal certified,Certificate by public health engineering department,55,55
Bhalari,Bhalri,Anandpur Sahib,Rupnagar,Punjab,5084,296,0,4788,2,Yes,Har ghar jal certified,Certificate by public health engineering department,1120,1120
Bhanam,Bhanam,Anandpur Sahib,Rupnagar,Punjab,2275,284,0,1991,2,Yes,Har ghar jal certified,Certificate by public health engineering department,579,579
Bhanupali,Bhanupali,Anandpur Sahib,Rupnagar,Punjab,932,117,0,815,2,Yes,Har ghar jal certified,Certificate by public health engineering department,309,309
Bhatton,Bhatton,Anandpur Sahib,Rupnagar,Punjab,720,90,0,630,1,Yes,Har ghar jal certified,Certificate by public health engineering department,139,139
Bhikhapur,Bhikhapur,Anandpur Sahib,Rupnagar,Punjab,421,53,0,368,1,Yes,Har ghar jal certified,Certificate by public health engineering department,74,74
Bikapur,Bikapur,Anandpur Sahib,Rupnagar,Punjab,1228,489,0,739,3,Yes,Har ghar jal certified,Certificate by public health engineering department,207,207
Brahmpur Upper,Brahampur Uperla,Anandpur Sahib,Rupnagar,Punjab,1843,230,0,1613,2,Yes,Har ghar jal certified,Certificate by public health engineering department,914,914
Chak,Chak,Anandpur Sahib,Rupnagar,Punjab,700,50,0,650,1,Yes,Har ghar jal certified,Certificate by public health engineering department,88,88
Chandesar,Chandesar,Anandpur Sahib,Rupnagar,Punjab,1014,158,0,856,1,Yes,Har ghar jal certified,Certificate by public health engineering department,151,151
Chandpur,Chandpur,Anandpur Sahib,Rupnagar,Punjab,1430,62,0,1368,1,Yes,Har ghar jal certified,Certificate by public health engineering department,230,230
Chhutewal,Chhutewal,Anandpur Sahib,Rupnagar,Punjab,1214,162,0,1052,3,Yes,Har ghar jal certified,Certificate by public health engineering department,251,251
Chikna,Chikna,Anandpur Sahib,Rupnagar,Punjab,1090,81,0,1009,1,Yes,Har ghar jal certified,Certificate by public health engineering department,190,190
Dobheta,Dabhetta,Anandpur Sahib,Rupnagar,Punjab,2495,312,0,2183,2,Yes,Har ghar jal certified,Certificate by public health engineering department,530,530
Dab Khera,Dabkhera,Anandpur Sahib,Rupnagar,Punjab,1219,152,0,1067,2,Yes,Har ghar jal certified,Certificate by public health engineering department,279,279
Dabour,Dabur,Anandpur Sahib,Rupnagar,Punjab,1500,275,0,1225,3,Yes,Har ghar jal certified,Certificate by public health engineering department,260,260
Daghaur,Daghaur,Anandpur Sahib,Rupnagar,Punjab,1310,420,0,890,1,Yes,Har ghar jal certified,Certificate by public health engineering department,280,280
Darauli Upper,Daroli,Anandpur Sahib,Rupnagar,Punjab,4443,649,0,3794,3,Yes,Har ghar jal certified,Certificate by public health engineering department,1218,1218
Dasgran,Dasgran,Anandpur Sahib,Rupnagar,Punjab,1128,141,0,987,3,Yes,Har ghar jal certified,Certificate by public health engineering department,230,230
Dolowal,Daulowal,Anandpur Sahib,Rupnagar,Punjab,317,62,0,255,4,Yes,Har ghar jal certified,Certificate by public health engineering department,67,67
Dayapur,Dayapur,Anandpur Sahib,Rupnagar,Punjab,581,73,0,508,1,Yes,Har ghar jal certified,Certificate by public health engineering department,102,102
Dehni,Dehni,Anandpur Sahib,Rupnagar,Punjab,1253,220,0,1033,2,Yes,Har ghar jal certified,Certificate by public health engineering department,231,231
BARARI,DHARUH,Anandpur Sahib,Rupnagar,Punjab,105,9,0,96,1,Yes,Har ghar jal certified,Certificate by public health engineering department,31,31
Dharoh,DHARUH,Anandpur Sahib,Rupnagar,Punjab,225,28,0,197,1,Yes,Har ghar jal certified,Certificate by public health engineering department,45,45
Dher,Dher,Anandpur Sahib,Rupnagar,Punjab,2840,355,0,2485,1,Yes,Har ghar jal certified,Certificate by public health engineering department,568,568
Dukli,Duhkli,Anandpur Sahib,Rupnagar,Punjab,888,111,0,777,1,Yes,Har ghar jal certified,Certificate by public health engineering department,178,178
Donal,Dunal,Anandpur Sahib,Rupnagar,Punjab,938,118,0,820,2,Yes,Har ghar jal certified,Certificate by public health engineering department,182,182
Gajpur,Gajpur,Anandpur Sahib,Rupnagar,Punjab,1260,140,0,1120,2,Yes,Har ghar jal certified,Certificate by public health engineering department,255,255
GAMBHIRPUR,GAMBHIRPUR,Anandpur Sahib,Rupnagar,Punjab,2992,308,0,2684,3,Yes,Har ghar jal certified,Certificate by public health engineering department,577,577
Ganguwal,Ganguwal,Anandpur Sahib,Rupnagar,Punjab,1528,314,0,1214,1,Yes,Har ghar jal certified,Certificate by public health engineering department,235,235
Paili Khurd,Ganguwal,Anandpur Sahib,Rupnagar,Punjab,167,40,0,127,1,Yes,Har ghar jal certified,Certificate by public health engineering department,30,30
PAILI KHURD,Ganguwal,Anandpur Sahib,Rupnagar,Punjab,111,13,0,98,1,Yes,Har ghar jal certified,Certificate by public health engineering department,31,31
Ghanour,Ghanaru,Anandpur Sahib,Rupnagar,Punjab,143,22,0,121,1,Yes,Har ghar jal certified,Certificate by public health engineering department,32,32
Gohlni,Gohlni,Anandpur Sahib,Rupnagar,Punjab,920,115,0,805,2,Yes,Har ghar jal certified,Certificate by public health engineering department,481,481
Hazipur,Hajipur,Anandpur Sahib,Rupnagar,Punjab,1070,285,0,785,2,Yes,Har ghar jal certified,Certificate by public health engineering department,211,211
Humbewal,Hambewal,Anandpur Sahib,Rupnagar,Punjab,1681,500,0,1181,2,Yes,Har ghar jal certified,Certificate by public health engineering department,354,354
Harshabela,Harsa Bela,Anandpur Sahib,Rupnagar,Punjab,1825,541,0,1284,2,Yes,Har ghar jal certified,Certificate by public health engineering department,205,205
Jandla Lower,Jandla,Anandpur Sahib,Rupnagar,Punjab,987,123,0,864,3,Yes,Har ghar jal certified,Certificate by public health engineering department,197,197
Jhinjri,Jhinjri,Anandpur Sahib,Rupnagar,Punjab,1306,388,0,918,4,Yes,Har ghar jal certified,Certificate by public health engineering department,226,226
Jindwari,Jindwari,Anandpur Sahib,Rupnagar,Punjab,2425,304,0,2121,4,Yes,Har ghar jal certified,Certificate by public health engineering department,883,883
Jol,Jol,Anandpur Sahib,Rupnagar,Punjab,115,14,0,101,2,Yes,Har ghar jal certified,Certificate by public health engineering department,23,23
Kalitran,Kalitran,Anandpur Sahib,Rupnagar,Punjab,1501,188,0,1313,1,Yes,Har ghar jal certified,Certificate by public health engineering department,338,338
Kalota,Kalota,Anandpur Sahib,Rupnagar,Punjab,295,14,0,281,1,Yes,Har ghar jal certified,Certificate by public health engineering department,63,63
Kalsera,Kalsera,Anandpur Sahib,Rupnagar,Punjab,2275,284,0,1991,1,Yes,Har ghar jal certified,Certificate by public health engineering department,398,398
Khamera,Khamera,Anandpur Sahib,Rupnagar,Punjab,2149,191,0,1958,1,Yes,Har ghar jal certified,Certificate by public health engineering department,365,365
Khanpur,Khanpur,Anandpur Sahib,Rupnagar,Punjab,182,23,0,159,1,Yes,Har ghar jal certified,Certificate by public health engineering department,40,40
Kherabagh,Khera Bag,Anandpur Sahib,Rupnagar,Punjab,295,37,0,258,1,Yes,Har ghar jal certified,Certificate by public health engineering department,80,80
Kotla,Kotla,Anandpur Sahib,Rupnagar,Punjab,3851,480,0,3371,4,Yes,Har ghar jal certified,Certificate by public health engineering department,620,620
Kulgran,Kulgran,Anandpur Sahib,Rupnagar,Punjab,875,109,0,766,1,Yes,Har ghar jal certified,Certificate by public health engineering department,165,165
Dhanera,Lakher,Anandpur Sahib,Rupnagar,Punjab,135,19,0,116,1,Yes,Har ghar jal certified,Certificate by public health engineering department,24,24
Lakher,Lakher,Anandpur Sahib,Rupnagar,Punjab,752,20,0,732,1,Yes,Har ghar jal certified,Certificate by public health engineering department,125,125
Lamlehri,Lamlehari,Anandpur Sahib,Rupnagar,Punjab,610,170,0,440,1,Yes,Har ghar jal certified,Certificate by public health engineering department,85,85
Lang Majari,Lang Majari,Anandpur Sahib,Rupnagar,Punjab,572,32,0,540,1,Yes,Har ghar jal certified,Certificate by public health engineering department,97,97
Lodhipur,Lodhipur,Anandpur Sahib,Rupnagar,Punjab,2100,350,0,1750,1,Yes,Har ghar jal certified,Certificate by public health engineering department,430,430
Mahain,Mahain,Anandpur Sahib,Rupnagar,Punjab,1630,380,0,1250,1,Yes,Har ghar jal certified,Certificate by public health engineering department,220,220
Majara,Majara,Anandpur Sahib,Rupnagar,Punjab,640,156,0,484,1,Yes,Har ghar jal certified,Certificate by public health engineering department,82,82
Majari,Majari,Anandpur Sahib,Rupnagar,Punjab,590,74,0,516,1,Yes,Har ghar jal certified,Certificate by public health engineering department,115,115
Majher,Majher,Anandpur Sahib,Rupnagar,Punjab,890,320,0,570,1,Yes,Har ghar jal certified,Certificate by public health engineering department,135,135
Manakpur,Manakpur,Anandpur Sahib,Rupnagar,Punjab,1256,157,0,1099,1,Yes,Har ghar jal certified,Certificate by public health engineering department,251,251
MANGEWAL,MANGEWAL,Anandpur Sahib,Rupnagar,Punjab,1600,175,0,1425,3,Yes,Har ghar jal certified,Certificate by public health engineering department,253,253
Massewal,Massewal,Anandpur Sahib,Rupnagar,Punjab,730,80,0,650,1,Yes,Har ghar jal certified,Certificate by public health engineering department,150,150
BALOWAL,Mataur,Anandpur Sahib,Rupnagar,Punjab,53,42,0,11,1,Yes,Har ghar jal certified,Certificate by public health engineering department,10,10
Buraj,Mataur,Anandpur Sahib,Rupnagar,Punjab,242,0,0,242,1,Yes,Har ghar jal certified,Certificate by public health engineering department,44,44
Matour,Mataur,Anandpur Sahib,Rupnagar,Punjab,121,0,0,121,1,Yes,Har ghar jal certified,Certificate by public health engineering department,22,22
Mojowal,Maujowal,Anandpur Sahib,Rupnagar,Punjab,565,71,0,494,2,Yes,Har ghar jal certified,Certificate by public health engineering department,215,215
Chamrauli,Maura,Anandpur Sahib,Rupnagar,Punjab,95,80,0,15,1,Yes,Har ghar jal certified,Certificate by public health engineering department,15,15
Moura,Maura,Anandpur Sahib,Rupnagar,Punjab,839,287,0,552,1,Yes,Har ghar jal certified,Certificate by public health engineering department,135,135
Mindwan,Meendwan,Anandpur Sahib,Rupnagar,Punjab,2128,257,0,1871,3,Yes,Har ghar jal certified,Certificate by public health engineering department,345,345
Meghpur,Meghpur,Anandpur Sahib,Rupnagar,Punjab,1025,151,0,874,2,Yes,Har ghar jal certified,Certificate by public health engineering department,137,137
Mehandli Khurd,Mehindli Khurd,Anandpur Sahib,Rupnagar,Punjab,544,109,0,435,1,Yes,Har ghar jal certified,Certificate by public health engineering department,99,99
Mehlwan,Mehlwan,Anandpur Sahib,Rupnagar,Punjab,1095,137,0,958,1,Yes,Har ghar jal certified,Certificate by public health engineering department,220,220
Mehandli Kalan,Mehndli Kalan,Anandpur Sahib,Rupnagar,Punjab,1208,227,0,981,2,Yes,Har ghar jal certified,Certificate by public health engineering department,271,271
Mehroli,Mehroli,Anandpur Sahib,Rupnagar,Punjab,1435,172,0,1263,1,Yes,Har ghar jal certified,Certificate by public health engineering department,149,149
Mianpur,Mianpur,Anandpur Sahib,Rupnagar,Punjab,388,32,0,356,1,Yes,Har ghar jal certified,Certificate by public health engineering department,70,70
Mohiwal,Mohiwal,Anandpur Sahib,Rupnagar,Punjab,480,60,0,420,1,Yes,Har ghar jal certified,Certificate by public health engineering department,100,100
Nangal Nikku,Nangal Nikku,Anandpur Sahib,Rupnagar,Punjab,3400,425,0,2975,2,Yes,Har ghar jal certified,Certificate by public health engineering department,731,731
Nangli,Nangli,Anandpur Sahib,Rupnagar,Punjab,1674,246,0,1428,3,Yes,Har ghar jal certified,Certificate by public health engineering department,411,411
NANGRAN,NANGRAN,Anandpur Sahib,Rupnagar,Punjab,47,7,0,40,2,Yes,Har ghar jal certified,Certificate by public health engineering department,17,17
