State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,FATEHGARH SAHIB,AMLOH,ALADAD PUR,115,139,106,126,0,0,53,86
PUNJAB,FATEHGARH SAHIB,AMLOH,ALI PUR SANDAL,143,242,140,238,0,0,102,140
PUNJAB,FATEHGARH SAHIB,AMLOH,ANIAN,206,343,140,233,0,0,156,187
PUNJAB,FATEHGARH SAHIB,AMLOH,BAD GUJRAN,108,125,89,105,0,0,27,98
PUNJAB,FATEHGARH SAHIB,AMLOH,BADALI,136,199,115,176,0,0,74,125
PUNJAB,FATEHGARH SAHIB,AMLOH,BADIN PUR,191,237,133,173,0,0,61,176
PUNJAB,FATEHGARH SAHIB,AMLOH,BARECHAN,186,315,129,228,0,0,166,149
PUNJAB,FATEHGARH SAHIB,AMLOH,BARONGA BULAND,133,165,108,137,0,0,62,103
PUNJAB,FATEHGARH SAHIB,AMLOH,BARONGA JER,163,214,131,169,0,0,88,126
PUNJAB,FATEHGARH SAHIB,AMLOH,BENA BULAND,183,254,171,241,0,0,83,171
PUNJAB,FATEHGARH SAHIB,AMLOH,BENI JER,106,192,84,163,0,0,97,95
PUNJAB,FATEHGARH SAHIB,AMLOH,BHADAL THUHA,364,476,283,375,0,0,176,300
PUNJAB,FATEHGARH SAHIB,AMLOH,BHAGWAN PURA,197,300,176,268,0,0,122,178
PUNJAB,FATEHGARH SAHIB,AMLOH,BHAMBRI,197,331,183,311,0,0,159,172
PUNJAB,FATEHGARH SAHIB,AMLOH,BHARPOOR GARH,215,341,188,305,0,0,151,190
PUNJAB,FATEHGARH SAHIB,AMLOH,BHATTON,127,228,106,191,0,0,117,111
PUNJAB,FATEHGARH SAHIB,AMLOH,BHOLIAN,74,136,49,103,0,0,72,64
PUNJAB,FATEHGARH SAHIB,AMLOH,BRIHMA,23,40,3,6,0,0,23,17
PUNJAB,FATEHGARH SAHIB,AMLOH,BUGGA KALAN,289,484,244,421,1,1,217,267
PUNJAB,FATEHGARH SAHIB,AMLOH,CHATAR PURA,95,139,86,130,0,0,52,87
PUNJAB,FATEHGARH SAHIB,AMLOH,CHEHLAN,79,151,61,121,0,0,79,72
PUNJAB,FATEHGARH SAHIB,AMLOH,DADHERI,144,159,125,137,0,0,56,103
PUNJAB,FATEHGARH SAHIB,AMLOH,DEEVA GANDUAN,167,255,104,163,0,0,122,133
PUNJAB,FATEHGARH SAHIB,AMLOH,DHARAM GARH,95,198,65,137,0,0,104,94
PUNJAB,FATEHGARH SAHIB,AMLOH,DHARGERI,113,192,96,165,0,0,70,122
PUNJAB,FATEHGARH SAHIB,AMLOH,FARJULA PUR,275,436,227,353,0,0,173,263
PUNJAB,FATEHGARH SAHIB,AMLOH,FATEHGARH NIWAN,203,321,163,277,0,0,161,160
PUNJAB,FATEHGARH SAHIB,AMLOH,GHULU MAJRA,97,123,56,79,0,0,49,74
PUNJAB,FATEHGARH SAHIB,AMLOH,GHUTIND,112,178,91,150,0,0,76,102
PUNJAB,FATEHGARH SAHIB,AMLOH,GURDAN PUR,159,206,109,142,0,0,98,108
PUNJAB,FATEHGARH SAHIB,AMLOH,HAIBAT PUR,81,155,63,128,0,0,85,70
PUNJAB,FATEHGARH SAHIB,AMLOH,HARI PUR,75,154,52,115,0,0,81,73
PUNJAB,FATEHGARH SAHIB,AMLOH,HIMAT GARH,55,83,54,81,0,0,37,46
PUNJAB,FATEHGARH SAHIB,AMLOH,HIMAT GARH CHHANA,57,90,28,49,0,0,51,39
PUNJAB,FATEHGARH SAHIB,AMLOH,JALAL PUR,140,192,119,166,0,0,52,140
PUNJAB,FATEHGARH SAHIB,AMLOH,JALLO WAL,176,239,150,208,0,0,97,142
PUNJAB,FATEHGARH SAHIB,AMLOH,JASSRAN,185,192,158,165,0,0,66,126
PUNJAB,FATEHGARH SAHIB,AMLOH,JHAMBALA,157,280,131,233,0,0,136,144
PUNJAB,FATEHGARH SAHIB,AMLOH,KAHANPUR,147,168,103,119,0,0,73,95
PUNJAB,FATEHGARH SAHIB,AMLOH,KALAL MAJRA,136,191,117,167,0,0,70,121
PUNJAB,FATEHGARH SAHIB,AMLOH,KANJARI,109,170,76,132,0,0,78,92
PUNJAB,FATEHGARH SAHIB,AMLOH,KAPOOR GARH,374,598,345,557,0,0,261,337
PUNJAB,FATEHGARH SAHIB,AMLOH,KAUL GARH,198,340,188,316,0,0,177,163
PUNJAB,FATEHGARH SAHIB,AMLOH,KHANIAN,311,406,240,312,0,0,204,202
PUNJAB,FATEHGARH SAHIB,AMLOH,KHUMNA,234,414,187,357,0,0,191,223
PUNJAB,FATEHGARH SAHIB,AMLOH,KOTLA DADHERI,234,282,186,224,0,0,85,197
PUNJAB,FATEHGARH SAHIB,AMLOH,KOTLI,46,78,38,69,0,0,39,39
PUNJAB,FATEHGARH SAHIB,AMLOH,KUMBH,288,322,245,274,0,0,103,219
PUNJAB,FATEHGARH SAHIB,AMLOH,KUMBHRA,312,379,275,335,0,0,141,238
PUNJAB,FATEHGARH SAHIB,AMLOH,LAD PUR (S),183,256,147,204,0,0,103,153
PUNJAB,FATEHGARH SAHIB,AMLOH,LAD PUR (T),270,290,209,224,13,13,89,201
PUNJAB,FATEHGARH SAHIB,AMLOH,LAKHA SINGH WALA,226,343,182,281,0,0,173,170
PUNJAB,FATEHGARH SAHIB,AMLOH,LALON KHURD,156,253,132,214,0,0,115,138
PUNJAB,FATEHGARH SAHIB,AMLOH,LOHAR MAJRA KALAN,182,270,150,236,0,0,126,144
PUNJAB,FATEHGARH SAHIB,AMLOH,MACHHRAI KALAN,156,300,141,277,0,0,132,168
PUNJAB,FATEHGARH SAHIB,AMLOH,MACHHRAI KHURD,149,251,121,212,0,0,100,151
PUNJAB,FATEHGARH SAHIB,AMLOH,MAJRA MANNA SINGH WALA,47,99,35,75,0,0,41,58
PUNJAB,FATEHGARH SAHIB,AMLOH,MAJRI KISHANE WALI,188,264,129,193,0,0,129,135
PUNJAB,FATEHGARH SAHIB,AMLOH,MAJRI ARIYIAN,104,150,90,134,0,0,61,89
PUNJAB,FATEHGARH SAHIB,AMLOH,MAJRI MISHRE WALI,32,32,29,29,0,0,10,22
