State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,PATIALA,BHUNER HERI,ABDUL PUR,33,76,21,50,0,0,34,42
PUNJAB,PATIALA,BHUNER HERI,ADBAPUR MURADMAZRA,125,245,1,1,0,0,121,124
PUNJAB,PATIALA,BHUNER HERI,AHRU KALAN,184,249,31,44,0,0,123,126
PUNJAB,PATIALA,BHUNER HERI,AHRU KHURD,80,123,30,46,0,0,63,60
PUNJAB,PATIALA,BHUNER HERI,AKALGARH,130,182,24,36,0,0,72,110
PUNJAB,PATIALA,BHUNER HERI,AKBARPUR AFGANA,22,35,3,4,0,0,12,23
PUNJAB,PATIALA,BHUNER HERI,ALIPUR SIKHAN,127,191,19,29,0,0,94,97
PUNJAB,PATIALA,BHUNER HERI,ALIPUR WAZIRPUR SAHIB,55,91,2,4,0,0,55,36
PUNJAB,PATIALA,BHUNER HERI,ALIWAL,41,70,23,38,0,0,36,34
PUNJAB,PATIALA,BHUNER HERI,ARNAULI,71,183,18,63,0,0,94,89
PUNJAB,PATIALA,BHUNER HERI,ASAMPUR,111,197,55,115,0,0,95,102
PUNJAB,PATIALA,BHUNER HERI,AUJAN,33,47,3,4,0,0,30,17
PUNJAB,PATIALA,BHUNER HERI,BADLA,54,107,17,34,0,0,61,46
PUNJAB,PATIALA,BHUNER HERI,BADLI,144,235,15,41,1,1,129,106
PUNJAB,PATIALA,BHUNER HERI,BAHADARPUR MIRANWALA,90,118,5,7,0,0,75,43
PUNJAB,PATIALA,BHUNER HERI,BANGRAN,103,164,46,86,0,0,73,91
PUNJAB,PATIALA,BHUNER HERI,BARAKATPUR,294,397,8,14,0,0,154,243
PUNJAB,PATIALA,BHUNER HERI,Bazigar Basti,26,27,7,8,0,0,4,23
PUNJAB,PATIALA,BHUNER HERI,BEHAL,135,194,55,81,0,0,92,102
PUNJAB,PATIALA,BHUNER HERI,BEHRU,192,368,74,146,0,0,174,194
PUNJAB,PATIALA,BHUNER HERI,BHADUGARH,9,9,0,0,0,0,9,0
PUNJAB,PATIALA,BHUNER HERI,BHAGWANPUR JATTAN,27,47,11,21,0,0,23,24
PUNJAB,PATIALA,BHUNER HERI,BHANKHAR,200,288,86,135,0,0,107,181
PUNJAB,PATIALA,BHUNER HERI,BHASMRA,123,188,24,37,0,0,82,106
PUNJAB,PATIALA,BHUNER HERI,BHATTIAN,178,300,45,75,0,0,137,163
PUNJAB,PATIALA,BHUNER HERI,BHUDMORE,261,443,14,28,0,0,197,246
PUNJAB,PATIALA,BHUNER HERI,BHUNERHERI,256,348,96,136,0,0,155,193
PUNJAB,PATIALA,BHUNER HERI,BINJAL,226,321,12,22,0,0,176,145
PUNJAB,PATIALA,BHUNER HERI,Binjal Jattan,80,137,7,9,0,0,67,70
PUNJAB,PATIALA,BHUNER HERI,BISHAN NAGAR KOTLA,22,35,5,11,0,0,19,16
PUNJAB,PATIALA,BHUNER HERI,BISHANGARH JHUGGIAN,133,199,7,11,0,0,108,91
PUNJAB,PATIALA,BHUNER HERI,BIVIPUR KHURD,134,310,8,15,0,0,162,148
PUNJAB,PATIALA,BHUNER HERI,BURE MAJRA,87,164,9,18,0,0,81,83
PUNJAB,PATIALA,BHUNER HERI,CHAPPARAHAR,82,131,9,14,0,0,69,62
PUNJAB,PATIALA,BHUNER HERI,CHIRWA,121,185,2,3,0,0,73,112
PUNJAB,PATIALA,BHUNER HERI,CHIRWI,182,291,0,0,0,0,132,159
PUNJAB,PATIALA,BHUNER HERI,CHUHAT,177,280,38,58,0,0,159,121
PUNJAB,PATIALA,BHUNER HERI,DADHERIAN,71,113,19,32,0,0,40,73
PUNJAB,PATIALA,BHUNER HERI,DEVINAGAR HIRA SINGH WALA,26,42,3,5,0,0,24,18
PUNJAB,PATIALA,BHUNER HERI,DEVINAGAR SWAI SINGH WALA,131,230,13,18,0,0,118,112
PUNJAB,PATIALA,BHUNER HERI,DHAGROLI,211,314,42,62,0,0,127,187
PUNJAB,PATIALA,BHUNER HERI,DHANDIAN,64,122,38,89,0,0,70,52
PUNJAB,PATIALA,BHUNER HERI,DHARAMGARH/KATHGARH,131,218,39,69,2,2,103,115
PUNJAB,PATIALA,BHUNER HERI,DOLATPUR FAQIRAN,81,120,9,15,0,0,68,52
PUNJAB,PATIALA,BHUNER HERI,DUDHAN GUJJRAN,86,146,53,97,0,0,77,69
PUNJAB,PATIALA,BHUNER HERI,DUDHAN SADAN,127,198,47,79,0,0,96,102
PUNJAB,PATIALA,BHUNER HERI,DURAD,74,131,15,23,0,0,59,72
PUNJAB,PATIALA,BHUNER HERI,FARIDPUR,41,81,38,75,0,0,41,40
PUNJAB,PATIALA,BHUNER HERI,GAGROLA,212,342,79,124,0,0,187,155
PUNJAB,PATIALA,BHUNER HERI,GAGROLI,43,76,15,29,0,0,38,38
PUNJAB,PATIALA,BHUNER HERI,GANESHPUR (GHOGPUR),59,94,1,1,0,0,48,46
PUNJAB,PATIALA,BHUNER HERI,GHURAM,248,313,56,65,0,0,120,193
PUNJAB,PATIALA,BHUNER HERI,GUTHMRA,112,144,21,28,0,0,60,84
PUNJAB,PATIALA,BHUNER HERI,HARANA,243,325,33,48,0,0,139,186
PUNJAB,PATIALA,BHUNER HERI,HASANPUR KAMBOIAN,68,114,13,29,0,0,61,53
PUNJAB,PATIALA,BHUNER HERI,HAZIPUR,36,50,1,1,0,0,24,26
PUNJAB,PATIALA,BHUNER HERI,HIRAGARH,91,121,59,82,0,0,42,79
PUNJAB,PATIALA,BHUNER HERI,HUSENPURA,43,55,8,10,2,2,37,18
PUNJAB,PATIALA,BHUNER HERI,IBRAHIMPUR,9,16,0,0,0,0,9,7
PUNJAB,PATIALA,BHUNER HERI,ISHERHERI,221,376,102,193,0,0,202,174
PUNJAB,PATIALA,BHUNER HERI,JALALABAD,34,53,2,2,0,0,29,24
PUNJAB,PATIALA,BHUNER HERI,JALBEHRA,183,290,18,29,0,0,135,155
PUNJAB,PATIALA,BHUNER HERI,JODHPUR,45,79,21,40,0,0,41,38
PUNJAB,PATIALA,BHUNER HERI,JULAH KHERI,174,202,29,32,0,0,76,126
PUNJAB,PATIALA,BHUNER HERI,KACHWA,160,242,83,129,0,0,105,137
PUNJAB,PATIALA,BHUNER HERI,KACHWI,103,203,46,120,0,0,98,105
PUNJAB,PATIALA,BHUNER HERI,KANA HERI,122,185,31,52,0,0,69,116
PUNJAB,PATIALA,BHUNER HERI,KATAKHERI,89,128,33,46,0,0,65,63
PUNJAB,PATIALA,BHUNER HERI,Kathgarh Chhana,45,56,1,1,0,0,27,29
PUNJAB,PATIALA,BHUNER HERI,KHAKATAN KALAN (MORAN),117,159,72,85,0,0,100,59
PUNJAB,PATIALA,BHUNER HERI,KHAKATAN KHURD,18,23,0,0,0,0,19,4
PUNJAB,PATIALA,BHUNER HERI,KHALASPUR (MARUPUR),244,402,16,32,0,0,202,200
PUNJAB,PATIALA,BHUNER HERI,KHANSA,112,174,11,18,0,0,88,86
PUNJAB,PATIALA,BHUNER HERI,KHARABGARH,74,105,4,6,0,0,68,37
PUNJAB,PATIALA,BHUNER HERI,KHATOLI,134,230,39,75,0,0,144,86
PUNJAB,PATIALA,BHUNER HERI,KHERI RAJU SINGH,166,287,15,24,0,0,124,163
PUNJAB,PATIALA,BHUNER HERI,KHERI RANWA,70,107,40,63,0,0,45,62
PUNJAB,PATIALA,BHUNER HERI,KISHANPURA,188,294,40,79,0,0,115,179
PUNJAB,PATIALA,BHUNER HERI,LEHLA JAGIR,19,30,12,23,0,0,19,11
PUNJAB,PATIALA,BHUNER HERI,MACHAL BASTI,96,140,89,130,0,0,28,112
PUNJAB,PATIALA,BHUNER HERI,MAGAR SAHIB,165,257,13,17,0,0,146,111
PUNJAB,PATIALA,BHUNER HERI,MAHIMA,176,295,24,44,0,0,162,133
PUNJAB,PATIALA,BHUNER HERI,MAHIMOODPUR,72,118,1,1,0,0,69,49
PUNJAB,PATIALA,BHUNER HERI,MAHIMOODPUR RURKI,273,494,27,46,0,0,259,235
PUNJAB,PATIALA,BHUNER HERI,MAHITABGARH,129,174,47,75,0,0,121,53
PUNJAB,PATIALA,BHUNER HERI,MAHMOODPUR JATTAN,85,136,17,29,2,2,57,79
PUNJAB,PATIALA,BHUNER HERI,MAHRU,257,442,62,102,0,0,235,207
