State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,ROPAR,ANANDPUR SAHIB,AALOWAAL,138,161,76,92,0,0,71,90
PUNJAB,ROPAR,ANANDPUR SAHIB,AAS PUR,114,124,9,9,0,0,66,58
PUNJAB,ROPAR,ANANDPUR SAHIB,AGAMPUR,286,394,139,200,0,0,225,169
PUNJAB,ROPAR,ANANDPUR SAHIB,ATARI,171,200,26,33,0,0,77,123
PUNJAB,ROPAR,ANANDPUR SAHIB,AWANKOT,140,176,91,124,0,0,93,83
PUNJAB,ROPAR,ANANDPUR SAHIB,Awankot Hethla,88,95,84,90,0,0,25,70
PUNJAB,ROPAR,ANANDPUR SAHIB,Bada Pind Upper,210,230,96,106,0,0,110,120
PUNJAB,ROPAR,ANANDPUR SAHIB,BADDAL LOWER,37,47,2,2,0,0,17,30
PUNJAB,ROPAR,ANANDPUR SAHIB,BADDAL UPPER,130,215,48,83,0,0,122,93
PUNJAB,ROPAR,ANANDPUR SAHIB,BADI JHKHIAN,136,162,23,26,0,0,98,64
PUNJAB,ROPAR,ANANDPUR SAHIB,BALOLI,203,267,17,22,0,0,149,118
PUNJAB,ROPAR,ANANDPUR SAHIB,BANNI,124,169,56,79,0,0,93,76
PUNJAB,ROPAR,ANANDPUR SAHIB,BARA PIND,174,184,57,61,0,0,107,77
PUNJAB,ROPAR,ANANDPUR SAHIB,BARUWAL,231,269,18,21,0,0,115,154
PUNJAB,ROPAR,ANANDPUR SAHIB,BASS DABRI,48,62,24,25,0,0,22,40
PUNJAB,ROPAR,ANANDPUR SAHIB,BASSOWAL,124,163,45,66,1,1,96,67
PUNJAB,ROPAR,ANANDPUR SAHIB,BASSOWAL COLONY,129,160,72,90,0,0,110,50
PUNJAB,ROPAR,ANANDPUR SAHIB,BASTI CHUDHARI BATHA,18,22,0,0,0,0,11,11
PUNJAB,ROPAR,ANANDPUR SAHIB,BEHLU,103,171,27,29,0,0,82,89
PUNJAB,ROPAR,ANANDPUR SAHIB,BELI,244,273,67,72,0,0,138,135
PUNJAB,ROPAR,ANANDPUR SAHIB,BHAOWAL,184,195,7,7,0,0,56,139
PUNJAB,ROPAR,ANANDPUR SAHIB,BHARTGARH,468,492,208,220,0,0,201,291
PUNJAB,ROPAR,ANANDPUR SAHIB,BIKAPUR LOWER,92,134,33,61,0,0,82,52
PUNJAB,ROPAR,ANANDPUR SAHIB,BIKAPUR UPPER,150,200,58,94,1,1,87,113
PUNJAB,ROPAR,ANANDPUR SAHIB,CHAK,72,124,5,8,0,0,69,55
PUNJAB,ROPAR,ANANDPUR SAHIB,CHANDESAR,131,181,27,42,0,0,67,114
