Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ALADADPURA (32859),ALADAD PUR ( 11125 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ALI PUR SANDAL (32812),ALI PUR SANDAL ( 11126 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNIAN (32872),Annian ( 11127 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0
BADGUJRAN (32883),BAD-GUJRAN ( 236076 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADALI (32877),BADALI ( 11128 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BADINPUR (32885),BADIN PUR ( 11129 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
BAINA BULLAND (32811),Baina Bulland ( 11135 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARAUNGA BULAND (32879),BARONGA BULAND ( 11131 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARONGA JAR (32878),BARONGA JAR ( 11132 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BENIZER (32856),BENIZER ( 236077 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHADAL THUHA (32809),BHADAL THUHA ( 11133 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHAGWANPURA (32807),BHAGWAN PURA ( 11134 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAMBRIAN (32855),BHAMBRI ( 11136 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
