Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ABDULLAPUR (32624),ABDULAPUR ( 11214 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMPUR (32613),ALAM PUR ( 11215 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADWALA (32598),BADWALA ( 11216 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAGH SIKANDER (32631),BAG SIKANDER ( 11217 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAHER (32571),BAHER ( 11218 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAZIDPUR (32611),BAZIDPUR ( 11287 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEHRAMPUR (32610),BEHRAM PUR ( 11219 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHANGUAN (32574),BHANGUAN ( 11220 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHATERI (32600),BHATERI ( 11221 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHUCHHI (32620),BHUCHI ( 11222 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADIANA (32556),DADIANA ( 11223 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHAMHERI (32629),DAMHERI ( 11224 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DEDRAN (32584),Dedran ( 11225 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
DERA MIR MIRAN (32632),DERA MIR MERAN ( 11226 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHUNDA (32619),DHUNDA ( 11227 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATEHPURJATTAN (32614),FATEHPUR JATTAN ( 11229 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATEHPURRAIAN (32588),FATEHPUR RAIAN ( 11228 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FEROZEPUR (32630),FEROZPUR ( 11230 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GANDWAN KALAN (32615),GANDWAN KALAN ( 11231 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ghumandgarh (32586),Ghamandgarh ( 11232 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GOPALON (32581),GOPALON ( 11233 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
