Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BIRTALAB URF TALAB NEEHAR (35784),BABA JIVAN SINGH NAGAR ( 277610 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baho Yatri (35789),BAHO YATRI ( 10672 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,15,0,0
BAHO SIBIAN PATTI BASAWA SINGH (35787),BAHOSIVIANPATIDHARAMSINGH ( 10673 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAHO SIBIAN PATTI DHARAM SINGH (35788),BAHOSIVIANPATIDHARAMSINGH ( 10673 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Buladewala (35771),BALADE WALA ( 10674 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALUANA (35775),BALUANA ( 10677 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BEHMAN DIWANA (35772),BASTI BAJIGAR ( 235948 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BEHMAN DIWANA (35772),BEHMAN DEWANA ( 10679 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Bhagu (35737),BHAGU ( 10680 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BHISIANA (CT) (35831),BHISIANA ( 10681 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Bir Behman (35773),BIR BEHMAN ( 10683 ),BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,2,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0
