Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ADAMPURA (35653),ADAMPURA ( 10786 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
AKLIA JALAL (35645),AKLIA JALAL ( 10787 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DYALPUR BHAIKA (35649),BASTI SURJITPURA ( 235962 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHODIPURA (35641),BHODIPURA ( 10790 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
BURJ LADHA SINGH WALA (35639),BURJ LADHA SINGH ( 10793 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURJ THROR (35637),BURJ THROAR ( 10795 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Dyalpura Bhaika (35649),DIALPURA BHAIKA ( 10799 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Dyalpura Mirza (35658),DIALPURA MIRZA ( 10800 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
GAUNSPURA (35650),GAUNS PURA ( 10802 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GUMTI KALAN (35657),GUMTI KALAN ( 10804 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DYALPURA BHAIKA (35649),GURDIT SINGH WALA ( 235963 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
GURUSAR (35646),GURUSAR ( 10805 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
HAKAM SINGH WALA (35643),HAKAM SINGH WALA ( 10806 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
HAMIRGARH (35647),HAMIR GARH ( 10807 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
JALAL (35648),JALAL ( 10809 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
KANGAR (35651),KANGAR ( 10811 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
KESAR SINGH WALA (35640),KESAR SINGH WALA ( 10812 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOER SINGHWALA (35644),KOER SINGH WALA ( 10813 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
NAWAN KESAR SINGH WALA (35640),NAWAN KESAR SINGH WALA ( 235960 ),BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
