Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Abdulpur (36774),ABDUL PUR ( 18275 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ahru Kalan (36755),AHRU KALAN ( 18277 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahru Khurd (36756),AHRU KHURD ( 18278 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Akalgarh (36617),AKALGARH ( 18279 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AKBARPUR URF MURAD MAJRA (36765),AKBARPUR / MURAD MAJRA ( 18280 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Akbarpur Afgana (36740),AKBARPUR AFGANA ( 18281 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Alipur Sikhan (36776),ALIPUR SIKHAN ( 239050 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Alipur Wazir Sahib (36753),ALIPUR WAZIDPUR SAHIB ( 18282 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HUSSAINPUR URF MEHARBAN ALIWALA (36668),ALIWAL ( 18283 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARNAULI (36795),ARNAULI ( 18284 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
ASMANPUR (36613),ASMAN PUR ( 18285 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Badla (36701),BADLA ( 18286 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Badli (36703),BADLI ( 18287 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BAHADURPUR MIRANWALA (36689),BAHADURPUR MIRAN WALA ( 18289 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bangran (36734),BANGRAN ( 18290 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Barkatpur (36698),BARKAT PUR ( 18291 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PANJETA (36670),BAZIGAR BASTI ( 277556 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behal (36673),BEHAL ( 18292 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Behru (36691),BEHRU ( 18293 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bhagwanpur Jattan (36718),BHAGWANPUR JATTAN ( 18295 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHANKHAR (36800),BHANKHER ( 18297 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhasmara (36710),BHASMRA ( 18298 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHATIAN (36616),BHATIAN ( 18299 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BUDHMORE (36721),BHUDMORE ( 18300 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Harigarh (264) (36729),BHUDMORE ( 18300 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sadhpur Viran (259) (36720),BHUDMORE ( 18300 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhunerheri (36669),BHUNER HERI ( 18301 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Binjal (36745),BINJAL ( 18302 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BINJJAL (36745),BINJAL JATTAN ( 277555 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHANGARH (36788),BISHAN GARH ( 18303 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BISHAN NAGAR (36731),BISHAN NAGAR KOTLA ( 18304 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BIBIPUR (36567),BIVIPUR ( 18305 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bure Majra (36695),BURE MAJRA ( 18306 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chaprahar (36750),CHAPRAHAR ( 18307 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chirwa (36777),CHIRWA ( 18308 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chirwi (36778),CHIRWI ( 18309 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
