Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Assarpur (38775),ASARPUR ( 19436 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Khizarpur (38778),ASARPUR ( 19436 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Attari (38794),ATTARI ( 19437 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Balrampur (38792),BALRAMPUR ( 19438 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Barsalpur (38869),BARSALPUR ( 19439 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0
Bassi Gujjran (38834),BASSI GUJJRAN ( 19440 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
BAZIDPUR (38822),BAZIDPUR ( 19441 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Behrampur Bet (38817),BEHRAMPUR BET ( 19442 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0
Bela (38791),BELA ( 19443 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,3,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Bhairon Majra (38844),BHAIRON MAJRA ( 19444 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATEHGARH (38843),BHAIRON MAJRA ( 19444 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHALIAN (38846),BHALIYAN ( 19445 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BELI ATTALGARH (38796),BHAOWAL ( 19446 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Beli Kalan (99) (38795),BHAOWAL ( 19446 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAUWAL (38787),BHAOWAL ( 19446 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GOBINDGARH KULCHIAN (38797),BHAOWAL ( 19446 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lakhewal (38788),BHAOWAL ( 19446 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
