Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Ajrawar (36907),AJROR ( 18525 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamdipur (36895),ALAMDIPUR ( 18526 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0
Bur Majra (368) (36880),ALANA ( 18527 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ulana (36879),ALANA ( 18527 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAGHORA (36884),BAGORA ( 18530 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bahawalpur (36900),BAHAWAL PUR ( 18531 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Sultanpur (111) (36902),BAHAWAL PUR ( 18531 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ballopur (36923),BALLOPUR ( 18532 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhat Majra (36893),BHAT MAJRA ( 18536 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chamaru (36854),Chamaru (372) ( 19004 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAPAR (36891),CHAPPAR ( 18541 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Darwa (36871),DARWA ( 18543 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
Gadapur (36925),GADAPUR ( 18547 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GHANAURI KHERA (36857),GHANAURI KHERA ( 18550 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Ghumana (36913),GHUMANA ( 18551 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ghungran (36903),GHUNGRAN ( 18552 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Harigarh (36862),HARI GARH ( 18553 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Hari Majra (36864),HARI MAJRA ( 18554 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Haripur Jhugian (36860),HARIPUR JHUGIAN ( 18555 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Harpalan (36852),HARPALAN ( 18556 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Harpalpur (36905),HARPALPUR ( 18557 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Hashampur (36920),Hussainpur ( 18558 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JAMAITGARH (36850),JAMITGARH ( 18560 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jand Mangoli (36867),JAND MANGOLI ( 18561 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jharwan (36842),JHARWAN ( 18563 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jabo Majra (36849),JOBO MAJRA ( 18564 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALHERI (36889),JOGI MAJRA ( 18565 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JOGI MAJRA (36863),JOGI MAJRA ( 18565 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,6,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KABULPUR (36877),KABULPUR ( 18566 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kamalpur (36840),KAMALPUR ( 18567 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0
Kami Kalan (36866),KAMI KALAN ( 18568 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Kami Khurd (36853),KAMI KHURD ( 18569 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
