Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Ablu (35765),ABLU ( 10668 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Aklian Kalan (35759),AKALIAN KALAN ( 10669 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Aklian Khurd (35760),AKLIA KHURD ( 10670 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Amargarh (35753),AMAR GARH ( 10671 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Balhar Binju (35752),BALAHAR BINJHU ( 10675 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Balhar Mehma (35761),BALAHAR MEHMA ( 10676 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
WARKANDI (35763),BARKANDI ( 10678 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Bhokhra (35741),BHOKHRA ( 10682 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BHOKHRA (35741),BHOKHRA KHURD ( 277574 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Singh Wala (35762),DAN SINGH WALA ( 10687 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Ganga (35764),GANGA ( 10689 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Goniana Kalan (35749),GONIANA KALAN ( 10691 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Goniana Khurd (35750),GONIANA KHURD ( 10692 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
HAR RAIPUR URF BHOKHRI (35743),HAR RAIPUR ALIAS BHOKHRI ( 10694 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
JANDANWALA (35744),JANDAN WALA ( 10695 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0
Jeeda (35746),JEEDA ( 10697 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Khemuana (35745),KHEMUANA ( 10702 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Khialiwala (35742),KHIALI WALA ( 10703 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Killi Nihal Singh (35768),KILI NIHAL SINGH ( 10704 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DAN SINGHWALA (35762),KOTHE BUDH SINGH ( 235949 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABLU (35765),KOTHE CHAT SINGH WALA ( 235953 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MEHMA SAWAI (35757),KOTHE INDER SINGH ( 235956 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
ABLU (35765),KOTHE KAUR SINGH WALA ( 235951 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MEHMA SARJA (35756),KOTHE LAKHI JANGAL ( 235957 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ablu (35765),KOTHE LAL SINGH WALA ( 235950 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MEHMA SAWAI (35757),KOTHE MANSOOR KE ( 277577 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHMA SAWAI (35757),KOTHE NATHA SINGH ( 235955 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEHMA SARJA (35756),KOTHE NATHIANA ( 235958 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
ABLU (35765),KOTHE PHULA SINGH WALE ( 235954 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABLU (35765),KOTHE SANDHUAN WALA ( 235952 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mehma Bhagwana (35767),MEHMA BHAGWANA ( 10706 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0
Mehma Sarja (35756),MEHMA SARJA ( 10707 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Mehma Sarkari (35766),MEHMA SARKARI ( 10708 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Mehma Swai (35757),MEHMA SWAI ( 10709 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nehian Wala (35754),NAHIAN WALA ( 10712 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
Gill Patti (35740),PATTI GILL ( 10714 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,2,0,0,0,0,0,1,1,0,1,4,0,0
SIBIAN (35755),SIVIAN ( 10717 ),GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
