Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
AJNER (32907),AJNER ( 11288 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AMARGARH (32964),AMAR GARH ( 11289 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMRALA (32959),AMARALA ( 11290 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
BADECHA BADA (32967),BADECHA BADA ( 11291 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADECHA CHOTA (32968),BADECHA CHOTTA ( 11292 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
BADLA (32936),BADLA ( 11293 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARWALI KALAN (32941),BARWALI KALAN ( 11294 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARWALI KHURD (32940),BARWALI KHURD ( 11295 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATHAN KALAN (32949),BATHAN KALAN ( 236090 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BATHAN KHURD (32931),BATHAN KHURD ( 11296 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BHAMBRI (32946),BHAMBRI ( 11298 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAMIAN (32935),Bhamina ( 11299 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,7,0,0,0,1,1,0,0,0,0,0
BHARI (32909),BHARI ( 11300 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhattian (32925),BHATIAN ( 11301 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHUTTAN (32943),BHUTTA ( 11302 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILASPUR (32948),BILASPUR ( 11303 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAUR (32917),BOUR ( 11297 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURJ (32920),BURJ ( 11304 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIALA (32976),CHANDIALA ( 11305 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARRI (32939),CHARRI ( 11306 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Dhanaula (32973),DHANAULA ( 11307 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHIANU MAJRA (32953),DHIANU MAJRA ( 11308 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
DHOLEWAL (32915),DHOLEWAL ( 11309 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DULWAN (32934),DULWAN ( 11310 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FRAUR (32942),FRAUR ( 11311 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
