Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ANAITPURA (32705),ANAITPURA ( 11358 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BADALI ALA SINGH (32669),BADALI ALA SINGH ( 11359 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADALI MAI KI (32688),BADALI MAI KI ( 11360 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALAHRA (32663),BALAHRA ( 11361 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALAHRA (32663),BALAHRA MANDIR ( 277608 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALAHRI KALAN (32667),BALAHRI KALAN ( 11362 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAMBE MAJRA (32666),BALAHRI KALAN ( 11362 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAHRI KHURD (32664),BALAHRI KHURD ( 11363 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BASIAN (32538),BASSIAN ( 11364 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAGANPUR (32565),BHAGAN PUR ( 11365 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHAGATPURA (32537),BHAGAT PURA ( 11366 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHAGRANA (32682),BHAGRANA ( 11367 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAINIKALAN (32693),BHAINI KALAN ( 11368 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAINIKHURD (32694),BHAINI KHURD ( 11369 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHARIONPUR (32662),BHAIRON PUR ( 11370 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHUAKHERI (32683),BHUA KHERI ( 11371 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIBIPUR (32729),BIBI PUR ( 11372 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Biromajri (32531),BIRO MAJRI ( 11373 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
