Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Bagher Charat Singh (35895),BAGAIR CHARAT SINGH ( 10749 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BANGHER MOHABAT SINGH (35894),BAGAIR MOHABATSINGH ( 10750 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAI BAKHTOUR (35868),BHAI BAKHTAUR ( 10722 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURJ (35889),BURJ ( 10723 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURJ SEMA (35893),BURJ SEMA ( 10724 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KISHANGARH URF CHINARTHAL (35872),CHANARTHAL ( 10725 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DHAN SINGH KHANA (35800),DHAN SINGH KHANA ( 10727 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
GEHRI BARA SINGH (35873),GEHRI BARA SINGH ( 10728 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
GHASO KHANA (35869),GHASO KHANA ( 10729 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
GHUMAN KALAN (35882),GHUMAN KALAN ( 10730 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
GHUMAN KHURD (35881),GHUMAN KHURD ( 10731 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0
JODHPUR PAKHAR (35892),JODHPUR PAKHAR ( 10732 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
KAMALU (35859),KAMALU SAWAICH ( 10733 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOT BHARA (35866),KOT BHARA ( 10734 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
KOTLI KHURD (35884),KOTLI KHURD ( 10735 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Kutiwal Kalan (35878),KUTIWAL KALAN ( 10736 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kutiwal Khurd (35880),KUTIWAL KHURD ( 10737 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
MAISAR KHANA (35874),MAISAR KHANA ( 10738 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Manak Khana (35870),MANAK KHANA ( 10739 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,6,2,1,0,0,46,0,0
MANSA KALAN (35890),MANSA KALAN ( 10740 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
MARI (35891),MARI ( 10741 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
MAUR CHARAT SINGH (35876),MAUR CHARAT SINGH ( 10742 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAI KHANA (35871),RAIKHANA ( 10744 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Rajgarh Kube (35887),RAJGARH KUBE ( 10745 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0
Ramgarh Bhunder (35867),RAMGARH BHUNDER ( 10746 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
RAM NAGAR (35877),RAMNAGAR ( 10747 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SANDOHA (35888),SANDOHA ( 10748 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Swaitch (35886),SAWAICH ( 10751 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0
Sukha Singh Wala (35883),SUKHA SINGH WALA ( 10752 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAJGARH KUBE (35887),TAHLA SAHIB ( 235942 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thaman Garh (35879),THAMAN GARH ( 10753 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JATRI (35875),YATRI ( 10754 ),MAUR ( 228 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,5,0,0
