Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ABHEPUR (36384),ABHEPUR ( 18640 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
Achal (36373),ACHAL ( 18641 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
AGETA (36307),AGETA ( 18642 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0
AGETI (36308),AGETI ( 18643 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
AGOUL (36413),AGOL ( 18644 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ajnauda Khurd (36345),AJNODA KHURD ( 18646 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AKALGARH (36431),AKALGARH ( 18647 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0
ALHORAN (CT) (36472),ALHORAN ( 18648 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,6,0,0,0,4,2,0,0,0,0,0
ALHORAN (CT) (36472),ALHORAN KHURD ( 244207 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0
ALIPUR (36369),ALIPUR ( 18649 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
BABARPUR (36400),BABERPUR ( 18651 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,0,0
BARHE (36464),BARRE ( 18653 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,1,0,44,0,0,1,0,0,0,0,0,0
BAURAN KALAN (36315),BAURAN KALAN ( 18654 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,9,0,0,0,1,2,0,0,0,0,0
BAURAN KHURD (36316),BAURAN KHURD ( 18655 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0
BAZIDRI (36463),BAZIDRI ( 18656 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BEHBALPUR (36451),Behbalpur ( 18652 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0
BANERA KALAN (36301),BENERA KALAN ( 18657 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
BANERA KHURD (36302),BENERA KHURD ( 18658 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
BHARI PANECHAN (36446),BHARI PANECHAN ( 18660 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,8,0,0,0,2,1,0,0,0,0,0
BHILOWAL (36386),BHILLONWAL ( 18661 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
BHOJO MAJRI (36358),Bhojo Majri ( 18662 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHORE (36410),BHORE ( 18663 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BINA HERI (36365),BINA HERI ( 18664 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BIRDHANO (36404),Birdhno ( 18665 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
BIRARWAL (36356),BIRDWAL ( 18666 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0
BISHANGARH (36407),BISHANGARH ( 18667 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BISHANPURA (36416),BISHANPURA ( 18668 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,5,59,0,0,0,0,0,0,0,0,0
BUGGA KHURD (36420),BUGGA KHURD ( 244208 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0
CHASWAL (36442),CHASWAL ( 18669 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0
CHATHE (36377),CHATHE ( 18670 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
CHAHAL (36445),CHEHAL ( 18671 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
CHHAJU BHATT (36364),CHHAJU BHAT ( 18672 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
CHHANNA NATHUWALIA (36456),CHHANNA ( 18673 ),NABHA ( 326 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,3,84,0,0,1,0,0,0,0,0,0
