Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Bajoana (35718),BAJOANA ( 10755 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0
Bath (35728),BATH ( 10756 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhaini (35714),BHAINI ( 10757 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Bhucho Kalan (35734),BHUCHO KALAN ( 10758 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,36,0,0
Bhucho Khurd (35736),BHUCHO KHURD ( 10759 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Bibiwala (35738),BIBI WALA ( 10760 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Burj Dalla (35713),BURJ DALLA ( 10761 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Burj Kahan Singh Wala (35735),BURJ KAHAN SINGH WALA ( 10762 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Chak Bakhtu (35798),CHAK BAKHTU ( 10763 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAK FATEH SINGHWALA (35797),CHAK FATEH SINGH BHAI HAR JOGINDER SINGH ( 235964 ),NATHANA ( 229 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
