Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MAWA (38429),ABADI BAHTIAN ( 19807 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BALEWAL (38480),ABADI GHARATIAN ( 19808 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KARURA (38383),ABADI TAPRIAN ( 19809 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABIANA KALAN (38500),ABIANA KALAN ( 19810 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
ABIANA KHURD (38490),ABIANA KHURD ( 19811 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,6,1,0,0,0,0,0
AMARPUR BELA (38425),AMARPUR BELA ( 19812 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
ASALATPUR (38460),ASLATPUR ( 19813 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
AULAKH (38467),AULAKH ( 19814 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AZAMPUR (38472),AZAMPUR ( 19815 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAHMAN MAJRA (38483),BAHMAN MAJRA ( 19816 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAIHARA (38373),BAINHARA ( 19817 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAINS (38466),BAINS ( 19818 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
BAJRUR (38489),BAJRUR ( 19819 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BALEWAL (38480),BALEWAL ( 19820 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BASSALI (38479),BAO JASSE MAJRA ( 19821 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARARI (38478),BAO KAULAPUR ( 19827 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
BARARI (38478),BARARI ( 19822 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BARIAN (38382),BARIAN ( 19823 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARWA (38452),BARWA ( 19824 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NURPUR KALAN (38473),BAS BILPUR ( 19825 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0
SABAUR (38386),BAS GADDIWALA ( 19826 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KARURA (38383),BAS PHUKAPUR ( 19828 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KALWAN (38370),BAS RORHUANA ( 19829 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BASSALI (38479),BASALI ( 19830 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BASSI (38457),BASSI ( 19831 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BATARLA (38497),BATARALA ( 19832 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BATHLOUR KHAD (38494),BATHLAUR KHAD HETHLA HD 521 ( 245187 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHAINI (38387),BHAINI ( 19833 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHANGAL (38541),BHANGAL ( 19834 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAMUNDARI (38350),BHANOOHAN ( 19835 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHAUWAL (38464),BHAOWAL ( 19836 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PAHARON (38465),BHAOWAL ( 19836 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bathlour Khad (38494),BHATLAUR KHAD ( 19837 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHATAULI (38454),BHATOLI ( 19838 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,1,0,0,0,0,2,4,0,0,0,0,0
CHANAULI (38455),BHATOLI ( 19838 ),NURPUR BEDI ( 337 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
