Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
AJNODA KALAN (36335),AJNODA KALAN ( 18645 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,23,24,0,0,1,0,0,0,0,0,0
ALLOWAL (36338),ALLOWAL ( 18650 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AMAMPURA (36476),AMAMPURA ( 18802 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
JASSOWAL (36529),AMAN BIHAR ( 277550 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDHUWAL (36528),BABU SINGH COLONY ( 260796 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Baran (36507),BARAN ( 18805 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JASSOWAL (36529),CARRIAR INCLAVE ( 277551 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHALELA (36475),CHALLELA ( 18815 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DANDRALA KHARAUR (36341),DHADRALA KHAROR ( 18680 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
Faridpur (36766),FARIDPUR ( 18830 ),PATIALA RURAL ( 7479 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
