Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BALIPUR (36517),BALIPUR ( 18900 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Barsat (36578),BARSAT ( 18806 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathoi Kalan (36660),BATHOI KALAN ( 19206 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bathoi Khurd (36659),BATHOI KHURD ( 19207 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SASSA GUJRAN (36646),BHAGWANPURA ( 244239 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhanra (36599),BHANRA ( 19209 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhanri (36601),BHANRI ( 19210 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhedpura (36583),BHEDPURA ( 18809 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
BIBIIPUR (36723),Bibipur (177) ( 18810 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bibipur (36644),Bibipur (183) ( 19211 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BIR KHERI GUJRAN (36558),BIR KHERI GUJARAN ( 244241 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BISHANPURA CHHANA (36566),BISHANPUR CHHANA ( 18813 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Kishangarh (180) (36576),BISHANPUR CHHANA ( 18813 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
SULTANPUR (36582),CHANNA KHOTI ( 260798 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chuharpur Jattan (36658),CHUHARPUR JATTAN ( 19219 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chuharpur Kalan (36575),CHUHARPUR KALAN ( 18817 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Chuharpur Marasian (36579),CHUHARPUR MARASIAN ( 18818 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Dadhera (36523),DADHERA ( 18829 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Dakala (36632),DAKALA ( 19221 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DARAULA (36635),DAROLA ( 19225 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DARAULI (36637),DAROLI ( 19226 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BATHOI KHURD (36659),DASHMESH NAGAR ( 19227 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Devi Nagar (36640),DEVI NAGAR ( 19229 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhablan (36568),DHABLAN ( 18819 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhakraba (36596),DHAKRABBA ( 18822 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhamo Majra (36563),DHAMO MAJRA ( 18823 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dharamheri (36647),DHARAMHERI ( 19231 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
BALIPUR (36517),DHARAMKOT ( 18824 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Dilawarpur (36597),DILAWARPUR ( 18826 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Dudhar (36633),DUDHAR ( 19234 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DOGHAT (36515),DUGHAT ( 18827 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Fatehpur (36595),FATEHPUR ( 18831 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
