Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Arnetu (36280),ARNETO ( 18902 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ARNETU (36280),ARNETU KHURD ( 277573 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arno (36236),ARNO ( 18903 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ARNO (36236),ARNO KHURD ( 244213 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATALAN (36283),ATTALAN ( 18904 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bakraha (36278),Bakraha ( 18907 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BISHANPUR ALIAS BANWALA (36276),BANWALA ( 18905 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Behar Jach (36238),BEHAR JACHH ( 18906 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GULAHAR (36246),BHAGAT SINGH NAGAR ( 244219 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHUTGARH (36255),BHOOTGARH ( 18909 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHADIPUR ALIAS MOMIAN (36261),BHUND THEH ( 18908 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BARAS (36286),BRASS ( 18910 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Burar (36273),BURAR ( 18911 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURAR (36273),BURAR KHURD ( 277572 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARIM NAGAR ALIAS CHICHARWALA (36260),CHEECHARWALA ALIES KARIM NAGAR ( 18949 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALBANO (36282),CHHABILPUR ( 18969 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chunagra (36267),CHUNAGRA ( 18912 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0
Daftriwala (36284),DAFTRIWALA ( 18913 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DAROLI (36277),DARAULI ( 18914 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GAFURPURA ALIAS MAULVIWALA (36249),DASHMESH NAGAR ( 244221 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEHDANA (36288),DEDHNA ( 18915 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DEVGARH (36266),DEOGARH ( 18916 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHUTRANA (36258),DERA BOHAR WALA ( 18917 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHUTRANA (36258),DERA CHHINAWALA ( 18918 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KHANEWAL (36251),DERA DASHMESH NAGAR ( 260813 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KARIM NAGAR ALIAS CHICHARWALA (36260),DERA DHANA SINGH WALA ( 260808 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHUTRANA (36258),DERA GOBINDPURA ( 18919 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARNO (36236),DERA JAHANGIR ( 260814 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHADIPUR ALIAS MOMIAN (36261),DERA JHEEL ( 18920 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARNO (36236),DERA RAJPUTAN ( 18921 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BURAR (36273),DERA SANGATPURA BURAR ( 260807 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GAFURPURA ALIAS MAULVIWALA (36249),DERA SANT NAGAR ( 244214 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DHABI GUJRAN (36233),DHABI GUJRAN ( 18922 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhuhar (36285),DHUHAR ( 18923 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HAMJHERI (36257),DIYAL NAGAR HAMJHERI ( 260806 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Duggal Khurd (36268),DUGAL KHURD ( 18924 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Duggal Kalan (36269),DUGGAL KALAN ( 18925 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DOTAL (36263),DUTTAL ( 18926 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Galoli (36235),GALOULI ( 18927 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DOTAL (36263),GANGA NAGAR ( 244216 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GOBINDPURA ALIAS PAIND (36247),GOBINDPURA / PAIND ( 18928 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAGRA (36239),GOBINDPURA SAGRA ( 18929 ),PATRAN ( 328 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
