Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Alike (35668),ALIKE ( 10788 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BURJ GILL (35661),BURJ GILL ( 10792 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHINGER (35667),DHINGER ( 10797 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0
DHAPALI (35662),DHIPALI KHURD ( 243908 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAPALI (35662),DHIPALI ( 10798 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DULEWALA (35655),DULEWALA ( 10801 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GHANDA BANA (35663),GHANDA BANA ( 10803 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Harnam Singh Wala (35704),HARNAM SINGH WALA ( 10808 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Kaloke (35660),KALOKE ( 10810 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Phule wala (35665),PHULE WALA ( 10821 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
RAYIA (35666),RAYIA ( 10824 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0
Sidhana (35705),SADHANA ( 10825 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Sandhu Khurd (35664),SANDHU KHURD ( 10827 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sailbrah (35659),SELBRAH ( 10828 ),PHUL ( 230 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
