Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
AKBARPUR (37004),AKBARPUR ( 273470 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0
ALUAN (36991),ALUNA ( 18981 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Azizpur (39234),AZIZPUR ( 18984 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAKSHIWALA (36997),BAKHSIWALA BASTI ( 18992 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bal Majra (37050),BALMAJRA ( 18987 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,67,0,0,1,0,0,0,0,0,0
Balsuan (36994),BALSUAN ( 18988 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Basantpura (36992),Basantpura ( 18989 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bakshiwala (36997),BHAKHSHIWALA ( 18995 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHAPAL (37005),BHAPPAL ( 18996 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhatiras (37037),BHATIRAS ( 18997 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,1,45,0,0,0,0,0,0,0,0,0
BHATEHRI (37016),BHATTARI ( 18998 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BUDHANPUR (39247),BUDHANPUR ( 19002 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
CHAK (36996),CHAK KALAN ( 19003 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHANDU KHURD (36988),CHANDUAN KHURD ( 19005 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandu Majra (36993),CHANDUMAJRA ( 19006 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Changeran (37051),CHANGERA ( 19007 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
