Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Badiala (35676),BADIALA ( 10830 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BALIANWALI (35694),BALIANWALI ( 10831 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALLOH (35675),BALOH ( 10832 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAINI CHUHAR (35682),BHAINICHUHAR ( 10833 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
BHUNDER (35695),BHUNDER ( 10834 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BUGRAN (35670),BUGRAN ( 260783 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BURJ MANSA (35702),BURJ MANSA ( 275719 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chowke (35680),CHAUKE ( 10835 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHOTIAN (35669),CHOTIAN ( 260785 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DAULATPURA (35693),DAULATPURA ( 10836 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0
DHADE (35685),DHADE ( 10837 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
DIKH (35684),DIKH ( 10838 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ghurella (35673),GHARAILA ( 10839 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Ghurelli (35672),GHARAILI ( 10840 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GILL KALAN (35701),GILL KALAN ( 10841 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GILL KHURD (35692),GILL KHURD ( 10842 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0
HARKISHANPURA (35688),HARKISHAN PURA ( 10843 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Jaid (35677),JAID ( 10844 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GILL KALAN (35701),JAWAHAR NAGAR ( 243910 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeond (35674),JEOND ( 10845 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JETHUKE (35671),JETHUKE ( 10846 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
JHANDUKE (35690),JHANDUKE ( 10847 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
KARARWALA (35700),KARARWALA ( 10848 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHOKHAR (35679),KHOKHAR ( 10849 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GILL KALAN (35701),KOTHE MANDI KALAN ( 277616 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotra Koreana (35696),KOTRA ( 10850 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANDI KALAN (35678),MANDI KALAN ( 10851 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANDI KHURD (35687),MANDI KHURD ( 10852 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MANSA KHURD (35691),MANSA KHURD ( 10853 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NANDGARH KOTRA (35689),NANDGARH ( 10854 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
PIRKOT (35681),PIRKOT ( 10855 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PITHO (35699),PITHO ( 10856 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAM NIWAS (35686),RAMNIWAS ( 10857 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
RAMPURA (35698),RAMPURA ( 10858 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SUCH (35683),SOOCH ( 10859 ),RAMPURA ( 231 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
