Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Achral Kalan (36211),ACHRAL KHURD ( 19119 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Achral Khurd (36210),ACHRAL KHURD ( 19119 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAMANA(RURAL) (36200),AJIT NAGAR ( 260830 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,26,0,0,1,0,0,0,0,0,0
Alampur (36180),ALAMPUR ( 19120 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASARPUR (36220),ASARPUR ( 19121 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Asmanpur (36171),ASMANPUR ( 19122 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DAWARKAPUR (36294),AUJHAN PATTI ( 244233 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Badanpur (36189),BADANPUR ( 19123 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BADSHAHPUR (KALEKI) (36224),BADSHAHPUR ( 244227 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
BADSHAHPUR (36295),BADSHAHPUR / SHIVPURA ( 19124 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
BAHMANA (36202),BAHMANA ( 19125 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Balamgarh (36179),BALLAMGARH ( 19126 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BAHMANA (36202),BASTI BAHAMANA ( 244236 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMANA(RURAL) (36200),BASTI GOBIND NAGAR ( 19127 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RATTAN HERI (36169),BASTI KOT BHAI LAKHIA ( 19128 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ASMANPUR (36171),BHAGAT SINGH NAGAR ( 260911 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhedpuri (36183),BHEDPURI ( 19129 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bijalpur (36226),BIJALPUR ( 19130 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Bishanpura (36214),BISHANPURA ( 19131 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Buta Singh Wala urf Harigarh (36290),BOOTA SINGH WALA / HARI GARH ( 19132 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bujrak (36162),BUJRAK ( 19133 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATEHGARH URF RETGARH (36187),CHAK AMRITSARIA ( 244238 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIYAL (36217),CHAN KAMASPUR / MIAL KHURD ( 19134 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHOHAT (36228),CHUHAT ( 19135 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chupki (36298),CHUPKI (A) ( 19136 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
CHUPKI (36219),CHUPKI (N) ( 244228 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chutehra (36229),CHUTEHRA ( 19220 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Danipur (36215),DANIPUR ( 19137 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
RAJLA (36192),DERA GAJI SALAR ( 244237 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DHANAURI (36230),DHANAURI ( 19230 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhanetha (36173),DHANETHA ( 19138 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dharamgarh (36177),DHARAMGARH ( 244229 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Dhenthal (36225),DHENTHAL ( 19139 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Dodra (36184),DODARA ( 19140 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Dullar (36195),DULLAR ( 19141 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DAWARKAPUR (36294),DWARAKAPUR ( 19142 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
FATEHGARH URF RETGARH (36187),FATEHGARH / RETGARH ( 19143 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fatehgarh Chhana (36205),FATEHGARH CHHANA ( 19144 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Fatehpur (36197),FATEHPUR ( 19145 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
