Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
AMARPURA URF GURTHURI (35837),AMARPURA ALIAS GURTHARI ( 10860 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
BAHADARGARH JANDIAN (35815),BAHADURGARH JANDIAN ( 10861 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,10,0,0
Bajak (35812),BAJAK ( 10862 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Bambiha (35818),BAMBIHA ( 10863 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Bandi (35825),BANDI ( 10864 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0
CHAK ATTAR SINGH WALA (35819),BATI PATTI ( 235931 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Bhagwangarh Urf Bhukhianwali (35839),BHAGWANGARH/BHUKHIANWALI ( 10865 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chak Attar Singh Wala (35819),CHAK ATTAR SINGH WALA ( 10866 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAK HIRA SINGHWALA URF PAKKA KHURD (35835),CHAK HIRASINGH/PAKKAKHURD ( 10867 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chak Ruldu Singh Wala (35830),CHAK RULDU SINGH WALA ( 10869 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Dhunike (35826),DHUNIKE ( 10870 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
CHAK KHARAK SINGHWALA URF DOOMWALI (35823),DOOMWALI URF CHAK KHARAK SINGH WALA ( 10868 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Dunewala (35838),DUNEWALA ( 10871 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Faridkot (35822),FARIDKOT ( 10872 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Gehri Buttar (35805),GEHRI BUTTER ( 10873 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0
Ghudda (35810),GHUDA ( 10874 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0
Gurusar Sehnewala (35791),GURU SAR SAINEWALA ( 10875 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Jai Singh Wala (35790),JAI SINGH WALA ( 10876 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Jangi Rana (35813),JANGI RANA ( 10877 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,3,3,3,0,0,0,0,0,0,1,1,0,0,41,0,0
JASSI BAGWALI (35828),JASSI BAGWALI ( 10878 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
JODHPUR BAGGA SINGH ALIAS PHALRAN (35833),Jodhpur Bagga/Phalak ( 10879 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KAL JHARANI (35820),KAL JHARANI ( 10880 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kishanpura Urf Kutti (35829),KISHANPURA ALIAS KUTTI ( 10881 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOT GURU (35809),KOTGURU ALIAS GURUKE ( 10882 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SANGAT KALAN (35807),KOTHE SANGAT KALAN ( 10895 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotli Sabo (35821),KOTLI SABO ( 10883 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lool Bai (35816),LOOL BAI ( 10884 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0
Malwala (35844),MAL WALA ( 10885 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
ANOOPGARH URF MACHHANA (35806),MASANA ( 10886 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Mehta (35804),MEHTA ( 10887 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Muhlan (35827),MUHALAN ( 10888 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Nandgarh (35811),NANDGARH ( 10889 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
CHAK KHARAK SINGHWALA URF DOOMWALI (35823),NAR SINGH COLONY ( 235932 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0
PAKKA KALAN (35836),PAKKA KALAN ( 10890 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Pathrala (35824),PATHRALA ( 10891 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Phullo Mithi (35808),PHULO MITHI ( 10892 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Raike kalan (35817),RAIKE KALAN ( 10893 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Raike Khurd Urf Chak Dana (35814),RAIKE KHURD ( 10894 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SANGAT KALAN (35807),SANGAT KALAN ( 243911 ),SANGAT ( 232 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
