Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
CHURASON (36652),ABADI KARTARPUR ( 19198 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKOT (36612),AKOT ( 19199 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alampur (36498),ALAMPUR ( 18801 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ALIPUR JATTAN (36651),ALIPUR JATTAN ( 19200 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assarpur (36809),ASSARPUR ( 19202 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
Balamgarh (36801),BALAMGARH ( 19203 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALBHEHRA (36654),BALBEHRA ( 19204 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALAN (36802),BALLAN ( 19205 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BATTA (36799),BATTA ( 19208 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhathlan (36544),BHATHALAN ( 18807 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHAT HERI (36504),BHATHERI ( 18808 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALASPUR (36624),BILASPUR ( 19212 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bir Bahadurgarh (36541),Bir Bahadurgarh ( 18811 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bir Kauli (36495),BIRKAULI ( 18812 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0
Boharpur (36489),BOHARPUR ( 18814 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolar Kalan (36804),BOLAR KALAN ( 19213 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bolri (36815),BOLRI ( 19214 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
