Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Abdulpur (36972),ABDULPUR ( 18977 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Akar (36975),Akar ( 18978 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Akari (36974),Akari ( 18979 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Alampur (37055),ALAMPUR ( 18980 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Alawal Majra (36932),ALAWAL MAJRA ( 18528 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Ali Majra (37073),ALI MAJRA ( 18529 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
JAINAGAR (36985),AMIRPUR ( 18982 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JANSUA (37043),BADAL COLONY ( 18985 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Badoli Gujran (36970),BADOLI GUJRAN ( 18986 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Baprour (36944),BAPROR ( 18533 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Basma (39249),BASMAN ( 18990 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BASMA (39249),BASMAN COLONY ( 18991 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Bathli (36973),BATHLI ( 18993 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,83,0,0,1,0,0,0,0,0,0
Bathonian Kalan (36952),BATHONIA KALAN ( 18534 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bathonian Khurd (36953),BATHONIA KHURD ( 18535 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhadak (36961),BHADAK ( 18994 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhedwal (36987),BHEDWAL ( 18999 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BHEDWAL JHUGIAN (36987),BHEDWAL JHUGIAN ( 19000 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhoglan (36955),BHOGLAN ( 19001 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhuri Majra (37063),BHURI MAJRA ( 18537 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
Bibipur (36950),Bibi Pur (86) ( 18538 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Chalheri (37064),CHALHERI ( 18539 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Chamaru (37059),Chamaru (79) ( 18540 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CHATAR NAGAR (36948),CHATTAR NAGAR ( 18542 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dahrian (36945),Darian ( 18545 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhakansu Kalan (37017),DHAKANSU KALAN ( 19012 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhakansu Khurd (37020),DHAKANSU KHURD ( 19013 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,88,0,0,0,0,0,0,0,0,0
DHAKANSU KALAN (37017),DHAKANSU MAJRA ( 19014 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dharamgarh (36930),DHARAMGARH ( 18544 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhindsa (36959),DHINDSAN ( 19016 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Gazipur (36957),GAJIPUR ( 19022 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0
GANDAN (37061),GANDIAN ( 18548 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Gardi Nagar (37065),GARDINAGAR ( 19023 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ghagar Sarai (37062),GHAGGAR SARAI ( 18549 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gharama Kalan (37067),GHARAMAN KALAN ( 19024 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gharama Khurd (37068),GHARAMAN KHURD ( 19025 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,51,0,0,1,0,0,0,0,0,0
Gopalpur (36971),GOPALPUR ( 19028 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHAKANSU KALAN (37017),GURU TEG BAHADUR COLONY ( 261080 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HASHAMPUR (36947),Hashampur ( 18559 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jai Nagar (36985),JAINAGAR ( 19033 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Jakhepal (36951),Jakhepal ( 18562 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Jakhran (36960),Jakhran ( 19041 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Jansua (37043),JANSUA ( 19036 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khandouli (36962),KHADOLI ( 19046 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Khairpur Jattan (36935),KHAIRPUR JATTAN ( 19047 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Khairpur Sheikhan (36949),KHAIRPUR SHEIKHAN ( 18572 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAID KHERI (36956),KHAJUR PEER COLONY ( 277552 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khanpur Barring (36954),KHANPUR BARING ( 19050 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khanpur Gandian (36934),KHANPUR GANDIAN ( 18574 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khanpur Khurd (36981),KHANPUR KHURD ( 19051 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Kheri Gandian (36958),KHERI GANDIAN ( 19055 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kheri Gurna (37070),KHERI GURNA ( 19056 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lohand (37071),Luhand ( 19060 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Madanpur (37060),MADANPUR ( 18586 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mandiana (36939),MANDIANA ( 18590 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mandwal (36984),MANDWAL ( 19064 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mangpur (37015),MANGPUR ( 19065 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0
MAHEWAN (36936),MEHMA ( 19068 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MEHMADPUR (37077),MEHMADPUR ( 18596 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,2,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0
MEHMOODPUR (36933),MEHMOODPUR ( 18595 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Mehtabgarh (37058),MEHTABGARH ( 19069 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Mohi Khurd (37053),MOHI KHURD ( 19071 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mohi Kalan (37052),MOHIKALAN ( 19072 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sarai Mugal (37074),MUGHAL SARAI ( 18598 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nandgarh (37069),NANDGARH ( 19077 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Nanhera (37072),NANHERA ( 18599 ),SHAMBU KALAN ( 7337 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
