Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
ADAMPUR (32731),ADAM PUR ( 11442 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ALIPUR SODIAN (32643),ALIPUR SONDHIAN ( 11444 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HALLO TALI (32766),AMAR GARH ( 11445 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAIN MAJRA (32751),ARAI MAJRA ( 11447 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HASSANPUR/CHALERI KHURD (32761),ASHAKPURA ( 277607 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAPUR (32789),ATTA PUR ( 11448 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHOCHHI KALAN (32747),BADOUCHI KALAN ( 11449 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
BADHOCHHI KHURD (32748),BADOUCHI KHURD ( 11450 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
BAGRIAN (32778),BAGRIAN ( 11451 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALPUR (32786),BAL PUR ( 11452 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARKATPUR (32727),BARKAT PUR ( 11453 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASANTPURA (32785),Basantpur ( 11454 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEHLOLPUR (32758),BEHLOL PUR ( 11455 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bhal Majra (32792),BHAL MAJRA ( 11456 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAMARSI BULLAND (32797),BHAMARSI BULAND ( 11458 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAMARSI ZER (32796),BHAMARSI JER ( 11457 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHATMAJRA (32710),BHATT MAJRA ( 11459 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIBIPUR (32671),BIBI PUR ( 11460 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIR BHAMARSI (32798),BIR BHAMARSI ( 11461 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BUCHRAN (32726),BUCHREY ( 11462 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BULEBAS ALIAS MUKANDPURA (32770),BULLEWAS MUKANDPURA ( 11463 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANALON (32646),CHANALON ( 11466 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANARTHAL KALAN (32791),CHANARTHAL KALAN ( 11467 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHANARTHAL KHURD (32790),CHANARTHAL KHURD ( 11468 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHANARTHAL NAUBAD (32793),CHANARTHAL KHURD ( 11468 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHANON (32780),CHANON ( 11469 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAHHERI (32779),CHANON ( 11469 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAURWALA ALIAS NARAINPURA (32753),CHAURWALA ALIAS NARAINPURA ( 11512 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHALERI KALAN (32762),CHHALLERI KALAN ( 11464 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HASSANPUR/CHALERI KHURD (32761),CHHALLERI KHURD ALIAS HASSANPUR ( 11465 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALO MAJRA (32724),DALO MAJRA ( 11470 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
