Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Bagha (35848),BAGHA ( 10898 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
BHAGIBANDAR (35897),BANDER PATTI ( 260777 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BANGI DIPA SINGH (35845),BANGI DEEPA SINGH ( 10899 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bangi Nihal Singh (35860),BANGI NIHAL SINGH ( 10900 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,2,1,1,0,0,3,0,0
Bangi Raghu (35846),BANGI RUGHU ( 10901 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
Bangi Ruldu (35861),BANGI RULDU ( 10902 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BEHMAN JASSA SINGH (35906),BEHMAN JASSA SINGH ( 10903 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BEHMAN KOER SINGH (35907),BEHMAN KAUR SINGH ( 10904 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BHAGIBANDAR (35897),BHAGI BANDAR ( 10905 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GADHIANWALA URF BHAGWANPURA (35900),BHAGWAN PURA ( 10906 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHATHEWALA (35865),CHATEWALA ( 273785 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
FATEHGARH NOUABAD (35902),FATEH GARH NOABAD ( 10907 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATAH BALU (35916),FATTA BALU ( 10908 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
